Description_Cluster;Count;Associated_Comment_Clusters
avec;801;de(30)|fissures(27)|d(18)|l(18)|e(16)|du(15)|la(13)|mm(12)|0(11)|de l(11)
c;5614;de(299)|d(125)|fissures(96)|la(95)|l(93)|sup(92)|non(91)|et(89)|de la(83)|constatation(81)
route;11;pas(6)|constatation(6)|infrastructure(6)|de(4)|photos(3)|pour(3)|cette(3)|car(3)|le(3)|mur(3)
jusqu;93;suspicion(8)|de(4)|rag(4)|de rag(4)
1;571;constatation(28)|de(20)|photo(14)|fissures(14)|aucune photo(13)|des(12)|cette constatation(12)|aucune(11)|car(11)|photo de(11)
4;278;de(33)|fissures(22)|non(20)|sup(20)|non sup(20)|0(18)|dans(16)|migr dans(16)|fissures de(16)|migr(15)
mm;1222;de(31)|suspicion(24)|dans(20)|migr dans(20)|migr(19)|fissure(18)|des(16)|photo(16)|pas(16)|caisson(14)
selon;5;suspicion(2)|de(1)|rag(1)|de rag(1)
zones;101;de(6)|d(3)|carbonate(3)|suspicion(2)|sultat(2)|du(2)|joint(2)|chauss(2)|chalais(2)|du joint(2)
voir;133;suspicion(4)|de(2)|rag(2)|de rag(2)|non(2)|durch(2)|kanalreinigungsunternehmer(2)|supprim(2)|clatement(2)|kohleeinlagen(2)
m;4717;de(260)|sup(123)|non(119)|fissures(114)|0(104)|non sup(96)|d(91)|et(79)|3mm(76)|la(75)
me;1499;de(97)|constatation(44)|fissure(40)|d(39)|0(39)|la(35)|en(31)|des(30)|de l(29)|mm(27)
localement;118;de(17)|efflorescences(16)|corrosion(15)|armatures(12)|et(10)|en(9)|surface(8)|taches(8)|rouille(8)|d(8)
trame;131;suspicion(4)|probablement(3)|ouverture(3)|de(2)|rag(2)|de rag(2)|fissure(2)|sup(2)|0(2)|mm(2)
maillage;48;de(3)|suspicion(2)|insuffisant(2)|bordure(2)|passage(2)|de l(2)|rag(1)|de rag(1)|enrobage(1)|au(1)
treillis;40;suspicion(2)|de(2)|bordure(2)|assainissement(2)|ouvrage(2)|rag(1)|de rag(1)|r(1)|par(1)|es(1)
variable;17;suspicion(2)|de(1)|rag(1)|de rag(1)|fissure(1)|verticale(1)|travers(1)|le(1)|parement(1)|fissure verticale(1)
descends;1;suspicion(2)|de(1)|rag(1)|de rag(1)
15cmx15cm;1;suspicion(2)|de(1)|rag(1)|de rag(1)
importantes traces;0;
infiltrations avec;0;
avec d;0;
c t;0;
t route;0;
route ouverture;0;
ouverture des;0;
des fissures;0;
fissures jusqu;0;
jusqu 1;0;
1 4;0;
4 mm;34;suspicion(2)|de(1)|rag(1)|de rag(1)|netzartige(1)|aar(1)|bedingte(1)|risse(1)|netzartige aar(1)|aar bedingte(1)
mm selon;0;
selon les;0;
les zones;0;
zones voir;0;
voir m;0;
m me;106;photo(16)|pas(16)|constation(14)|car(13)|aucune photo(12)|ne(12)|aucune(10)|des(10)|disponible(10)|visible(10)
me 4;0;
localement trame;0;
trame maillage;0;
maillage des;0;
fissures treillis;0;
treillis variable;0;
variable descends;0;
descends jusqu;0;
jusqu 15cmx15cm;0;
