Description_Cluster;Count;Associated_Comment_Clusters
wieder senkung;0;
senkung vorhanden;0;
belagsfugenmasse;1;
belagsfugenmasse ausgewaschen;0;
bitumen des;0;
heissvergussmasse;6;
muffenverbindung;1;
llrohre;1;
kabel;5;bereits(1)|seit(1)|letzter(1)|hauptinspektion(1)|vorhanden(1)|bereits seit(1)|seit letzter(1)|letzter hauptinspektion(1)|hauptinspektion vorhanden(1)
offen;14;chtigend(2)|kontrollschacht(2)|nicht(1)|beeintr(1)|f(1)|r(1)|die(1)|funktion(1)|nicht beeintr(1)|beeintr chtigend(1)
keine muffenverbindung;0;
muffenverbindung zwischen;0;
llrohre kabel;0;
kabel h;0;
h ngen;0;
ngen teilweise;0;
teilweise offen;0;
und nasstelle;0;
2 3;0;
3 st;0;
walzasphalt;1;
zwischen walzasphalt;0;
walzasphalt und;0;
polymerbitumen gerissen;0;
belagsrisse netzartig;0;
leichte rostfl;0;
ssig ca;0;
0 8;0;
erfolgreich abgefr;0;
abgefr sst;0;
sst nur;0;
nur noch;0;
noch leichte;0;
kalkspuren;3;
mit kalkspuren;0;
fassung;5;
der fassung;0;
fassung ca;0;
heraus;6;
aus fassung;0;
fassung heraus;0;
lessiv;24;voir(1)|constatation(1)|2101(1)|voir constatation(1)|constatation 2101(1)
ton lessiv;0;
lessiv avec;0;
apparents des;0;
avec important;0;
forte pr;0;
relatifs;4;
centim;12;
placements relatifs;0;
relatifs au;0;
joints plusieurs;0;
plusieurs centim;0;
centim tres;0;
tres voire;0;
voire 10;0;
10 15cm;0;
15cm en;0;
mm aus;0;
korrosionsfleck;2;
dem lager;0;
lager von;0;
x 3;0;
mit abbl;0;
tterung der;0;
mit korrosionsflecken;0;
korrosionsflecken bei;0;
bei defektem;0;
defektem korrosionschutz;0;
aufgehobenem;2;
sinterstellen bei;0;
parallel;5;
polymerbitumen sowie;0;
sowie vereinzelte;0;
polymerbitumen parallel;0;
parallel zum;0;
zum fb;0;
forte fissuration;0;
bordure ouverture;0;
lisses;2;
discontinue;1;
aux d;0;
choc montants;0;
et lisses;0;
ou lisses;0;
lisses discontinue;0;
discontinue glissi;0;
form e;0;
placements au;0;
de plusieurs;0;
importante ouverture;0;
joint avec;0;
ckenentw;2;
anfallendes;2;
korrosionsgefahr;2;
kein sauberer;0;
br ckenentw;0;
sserung anfallendes;0;
anfallendes wasser;0;
hrt zu;0;
zu feuchtigkeit;0;
wiederlager korrosionsgefahr;0;
gender abplatzung;0;
accentu;10;
juste;3;constatation(3)|supprim(2)|e(1)|car(1)|doublon(1)|avec(1)|sur(1)|le(1)|mur(1)|d(1)
accentu es;0;
es juste;0;
juste sous;0;
ohne freilegung;0;
der anker;0;
stark eingewachsen;0;
flucht;5;
werkfelder;1;
abgesenkt;2;
tzen nicht;0;
der flucht;0;
flucht evtl;0;
werkfelder abgesenkt;0;
abgesenkt sind;0;
relatif en;0;
mur jusqu;0;
oder verformungen;0;
des diagonalgelfechts;0;
abgewaschen;1;
sohle abgewaschen;0;
abgewaschen abgerieben;0;
betonfugen;4;
der betonfugen;0;
mit bewuchs;0;
abgeplatzten stellen;0;
naturstein;4;
naturstein ablagerungen;0;
unter auslaufbauwerk;0;
fuge des;0;
des mauerfl;0;
leitmauer;6;
den querrissen;0;
querrissen an;0;
der leitmauer;0;
leitmauer beim;0;
humides et;0;
tachent et;0;
vom vertikalriss;0;
bruchstein;11;
krone der;0;
fl gel;0;
und bruchstein;0;
einlauf wasser;0;
wasser sickert;0;
sickert unter;0;
die steine;0;
steinreihen lose;0;
und verschoben;0;
der breite;0;
am fl;0;
wassermenge;2;betr(2)|gt(2)|betr gt(2)|rissl(1)|nge(1)|4(1)|m(1)|und(1)|rissbreite(1)|10(1)
komplett;13;von(2)|hi(2)|2024(2)|bernommen(2)|von hi(2)|hi 2024(2)|2024 bernommen(2)|betr(2)|gt(2)|betr gt(2)
hinein;2;betr(2)|gt(2)|betr gt(2)|rissl(1)|nge(1)|4(1)|m(1)|und(1)|rissbreite(1)|10(1)
blocksatzplatte;2;betr(2)|gt(2)|betr gt(2)|rissl(1)|nge(1)|4(1)|m(1)|und(1)|rissbreite(1)|10(1)
tzmauer aktuelle;0;
aktuelle wassermenge;0;
wassermenge fliest;0;
fliest komplett;0;
komplett in;0;
riss hinein;0;
hinein unter;0;
blocksatz;6;betr(2)|gt(2)|betr gt(2)|kabelkanal(1)|wurde(1)|freigelegt(1)|schutz(1)|der(1)|leitungen(1)|durch(1)
betonfugen zwischen;0;
dem blocksatz;0;
der fundation;0;
fundation vom;0;
widerlager bergseitig;0;
rissspuren;1;
talseitigen konsole;0;
uft vermutlich;0;
vermutlich seitlich;0;
seitlich entlang;0;
bohrung;4;
spur einer;0;
einer wassereindringung;0;
wassereindringung unterhalb;0;
sserungsrohr bohrung;0;
strasse;29;alle(1)
che seite;0;
seite strasse;0;
strasse der;0;
leitmauer sind;0;
mehrere rostflecken;0;
mittelbauwerk;2;
mittelbauwerk vermutlich;0;
gerade;2;
versatzspr;2;
verlaufen nicht;0;
nicht gerade;0;
gerade und;0;
und haben;0;
haben versatzspr;0;
versatzspr nge;0;
ausgef;12;
mauerfuss;7;
schlecht ausgef;0;
ausgef hrte;0;
hrte arbeitsfuge;0;
mit kalkausscheidung;0;
starke kalkausscheidungen;0;
bei rissen;0;
zuckerzange;1;
hrten;18;
bzw ausbl;0;
infolge zuckerzange;0;
zuckerzange ausgef;0;
hrten entw;0;
breiter;75;mit(3)|teilweise(2)|ungen(2)|des(2)|betons(2)|und(2)|bewehrungsgrads(2)|risse(2)|einem(2)|f(2)
mm durch;0;
durch das;0;
das ganze;0;
ganze widerlager;0;
betonkante der;0;
mauer ost;0;
rutschung;3;
kolkschutzplatte;2;
verschiebung rutschung;0;
tal ca;0;
rtelfugen abgel;0;
sohle durchgehend;0;
durchgehend angerostet;0;
stahloberfl;7;
angerostete stahloberfl;0;
stahloberfl che;0;
rohr durchgehend;0;
nordwand;2;
350;1;
der nordwand;0;
nordwand und;0;
mittelbauwerk rissbreite;0;
mm rissl;0;
dem durchlassrohr;0;
durchlassrohr und;0;
ecke rissbreite;0;
abgerissene;1;betr(2)|gt(2)|rissbreite(2)|die(2)|der(2)|inspektion(2)|verschiebung(2)|betr gt(2)|und rissbreite(2)|rissl(1)
abgerissene ecke;0;
einlauf rissbreite;0;
und quer;0;
quer durchgehend;0;
zementrohr gebrochen;0;
gemauerten;1;
profil;28;
rdlicher;2;
gemauerten profil;0;
profil haben;0;
sich steine;0;
steine gel;0;
oder sind;0;
sind ausgebrochen;0;
rdlicher einlauf;0;
einlauf ist;0;
nicht der;0;
der durchlass;0;
durchlass das;0;
rohr f;0;
zerst;2;kabelkanal(1)|wurde(1)|freigelegt(1)|schutz(1)|der(1)|leitungen(1)|durch(1)|auslaufbauwerk(1)|nicht(1)|mehr(1)
rt;1588;de(90)|non(44)|d(30)|sup(30)|corrosion(29)|fissures(29)|la(28)|et(28)|en(27)|0(26)
der boden;0;
boden vom;0;
vom blocksatz;0;
blocksatz ist;0;
durch wasseranprall;0;
wasseranprall zerst;0;
zerst rt;0;
rt worden;0;
sents;20;alle(1)
d appuis;0;
appuis non;0;
non inspectables;0;
inspectables si;0;
si pr;0;
untersp lung;0;
lung unter;0;
gelmauern vom;0;
vom einlauftrichter;0;
lung mauern;0;
mauern einlauf;0;
schubverformungen;1;
risse infolge;0;
infolge schubverformungen;0;
diverse vertikale;0;
ber ganze;0;
widerlagerwand bis;0;
reprofiliert;1;
diverse schubrisse;0;
bereits reprofiliert;0;
und erneut;0;
erneut gerissen;0;
starker schubriss;0;
schubriss teilweise;0;
breiter schubriss;0;
schubriss bis;0;
durch ganzes;0;
ganzes wl;0;
abrieb;6;
teilweise ausbr;0;
che abrieb;0;
abrieb etc;0;
diverse mechanische;0;
mechanische sch;0;
bewehrung schadhafte;0;
schadhafte deckbeschichtung;0;
abgeplatzt sonst;0;
sonst gerissen;0;
inscription;1;
effac;20;de(3)|fissuration(2)|largeur(2)|1(2)|pour(1)|nous(1)|il(1)|n(1)|y(1)|a(1)
inscription sur;0;
partie effac;0;
traversante;6;tation(3)|traversant(3)|structure(3)|la(2)|propag(2)|le(2)|tallique(2)|de(1)|v(1)|g(1)
provoqu;8;
carrelet;1;
traversante provoqu;0;
le carrelet;0;
carrelet en;0;
bois pr;0;
avec zones;0;
eau goutte;0;
goutte localement;0;
stark versinter;0;
gar;15;
stellem meist;0;
hungen oder;0;
oder gar;0;
meist infolge;0;
enrobage et;0;
sogar;2;
stalaktitbildung;4;w(1)|hrend(1)|der(1)|inspektion(1)|feucht(1)|w hrend(1)|hrend der(1)|der inspektion(1)|inspektion feucht(1)
regelm igen;0;
nden mehrheitlich;0;
mehrheitlich stark;0;
versintert teilweise;0;
sogar stalaktitbildung;0;
halterung;8;bernahme(2)|aus(2)|hi(2)|2021(2)|bernahme aus(2)|aus hi(2)|hi 2021(2)
knick;7;bernommen(2)|hi(2)|2024(2)|hi 2024(2)|aus(1)|bernommen aus(1)|aus hi(1)|von(1)|von hi(1)|2024 bernommen(1)
leitung;28;bis(2)|ca(2)|50(2)|mm(2)|bis ca(2)|ca 50(2)|50 mm(2)|rohr(1)|gebrochen(1)|durch(1)
verformte halterung;0;
zu knick;0;
knick in;0;
in leitung;0;
but clat;0;
avec corrosion;0;
connect;4;
boit;2;
inexistantes;1;
correctement;1;
conduites d;0;
grilles de;0;
de route;0;
route sont;0;
sont mal;0;
mal connect;0;
connect es;0;
es endommag;0;
endommag es;0;
d boit;0;
boit es;0;
ou en;0;
partie inexistantes;0;
eau provenant;0;
route ne;0;
ne s;0;
s vacue;0;
vacue pas;0;
et sous;0;
face du;0;
grande;8;sur(1)|toute(1)|la(1)|hauteur(1)|sur toute(1)|toute la(1)|la hauteur(1)|fissure(1)|verticale(1)|travers(1)
naturelles;1;sur(1)|toute(1)|la(1)|hauteur(1)|sur toute(1)|toute la(1)|la hauteur(1)
grande ouverture;0;
ouverture entre;0;
en pierres;0;
pierres naturelles;0;
gonflement;11;
provoquer probablment;0;
probablment par;0;
schlammraum;1;
nordwand im;0;
schlammraum rissbreiten;0;
che verteilt;0;
et tache;0;
leitungssohle;1;
der schacht;0;
schacht und;0;
sohle sind;0;
schachtring;1;
schachtring gerissen;0;
sohlenoberfl;1;
che verm;0;
rtelung wurde;0;
wurde abgetragen;0;
eisen an;0;
ce qui;0;
qui am;0;
am ne;0;
ne une;0;
une arriv;0;
bodenplatte;6;kontrollschacht(2)|rissbreite(2)|ohne(1)|bodenablauf(1)|ohne bodenablauf(1)|0(1)|3(1)|mm(1)|und(1)|rissl(1)
schachtsohle;1;
der bodenplatte;0;
bodenplatte der;0;
des betons;0;
betons neben;0;
stahlteile;12;
schieber;4;
kette;2;
durchgerostet;1;
handrand;1;
gebrauchen;1;
stahlteile schieber;0;
schieber und;0;
und kette;0;
kette durchgerostet;0;
durchgerostet handrand;0;
handrand nicht;0;
mehr zu;0;
30 x;0;
gross korrosionsspuren;0;
containern;1;
rostspuren evtl;0;
evtl von;0;
von containern;0;
schutzschicht;2;
der stahloberfl;0;
elastomer;5;
elastomer des;0;
lagers gerissen;0;
reflektierende;2;
blechteile;3;
verbogen;1;
reflektierende blechteile;0;
blechteile verbogen;0;
lokal ungen;0;
berdeckung sichtbare;0;
sichtbare bewehrung;0;
eau au;0;
tterte;7;zusatzwinkel(2)|schrauben(1)|und(1)|schrauben und(1)|ganze(1)|l(1)|nge(1)|ganze l(1)|l nge(1)
abgebl tterte;0;
tterte deckbeschichtung;0;
der freilegenden;0;
freilegenden stahloberfl;0;
zwischenwand;1;
unmittelbar;3;setzungen(1)|bis(1)|zu(1)|15(1)|cm(1)|setzungen bis(1)|bis zu(1)|zu 15(1)|15 cm(1)
darunter;2;
dem deckel;0;
zwischenwand unmittelbar;0;
unmittelbar darunter;0;
clat et;0;
herunterh;1;
herunterh ngendes;0;
ngendes kabel;0;
salp;1;
avec salp;0;
salp tre;0;
10x10;1;
einzelne abplatzung;0;
breite bis;0;
einzelne risse;0;
einzelner horizontalriss;0;
horizontalriss rissbreite;0;
neben entw;0;
fbu;3;
vom fbu;0;
trockene spuren;0;
spuren von;0;
schutzbeschichtung;5;
lokale risse;0;
den fl;0;
mehrere mechanische;0;
den an;0;
belages;1;
lokale setzung;0;
belages einsenkung;0;
einsenkung bis;0;
zu 3;0;
belagsoberfl;1;
leichter abrieb;0;
abrieb der;0;
der spurrinnen;0;
gelmauern des;0;
gummifuge;1;
der gummifuge;0;
gummifuge vom;0;
fahrbahnmitte;2;
fahrbahnmitte leichter;0;
leichter versatz;0;
versatz zwischen;0;
fahrspuren mehrere;0;
kalkausscheidung unterhalb;0;
konsolen entlang;0;
tal und;0;
und bergseitig;0;
druckstrebe sind;0;
130;3;
der m;0;
rtelfuge unter;0;
steinreihen rissbreite;0;
gt 130;0;
130 cm;0;
120;6;
geht;1;
m ab;0;
ab beginn;0;
ein durchgehender;0;
rtelfuge rissl;0;
gt 120;0;
cm ganze;0;
mauerh he;0;
rissbreite geht;0;
mm im;0;
ausbruchs;7;
des ausbruchs;0;
affouillement;3;
521;1;
affouillement endommag;0;
type 521;0;
521 pas;0;
disponible pour;0;
pour ce;0;
type de;0;
ll und;0;
mehreren entw;0;
saniert;1;
wurde saniert;0;
tzmauer sind;0;
sind steinquader;0;
bereich ausgebrochen;0;
ausgebrochen ausbruchsgr;0;
ausbruchsgr sse;0;
sse 2;0;
2 2m;0;
chauve;2;
souris;2;
chauve souris;0;
avec forte;0;
forte corrosion;0;
armature fortement;0;
poteau;7;
rod;282;carbonatation(3)|d(2)|insgesamt(2)|faut(1)|ex(1)|cution(1)|d faut(1)|faut d(1)|d ex(1)|ex cution(1)
fixation du;0;
de poteau;0;
poteau des;0;
des glissi;0;
res rod;0;
ipe;23;migr(3)|dans(3)|migr dans(3)|caisson(2)|dans caisson(2)|constatation(2)|autre(1)|ci(1)|dessus(1)|dans autre(1)
poteau ipe;0;
limin;6;reconstruit(6)|de(5)|surface(5)|des(5)|s(4)|vacuation(4)|application(3)|d(3)|de surface(3)|le(3)
fauts limin;0;
limin s;0;
enrob;54;d(6)|t(5)|de(4)|la(3)|a(3)|du(3)|a t(3)|autoroute(3)|transversale(3)|bordure(2)
formation locale;0;
locale de;0;
l enrob;0;
creuses;1;
zones creuses;0;
fissuration corrosion;0;
4cm;3;
de 3;0;
3 4cm;0;
rouge;1;
traces rouge;0;
rouge tres;0;
toile;6;le(2)|couronnement(2)|ouverture(2)|ainsi(1)|que(1)|fissure(1)|horizontale(1)|parall(1)|70cm(1)|sous(1)
en toile;0;
1 1mm;0;
travail;2;
l tape;0;
de travail;0;
exigences;8;
conforme aux;0;
aux exigences;0;
attache;2;
attache manquante;0;
attaqu;2;ouvrage(2)|venue(1)|d(1)|eau(1)|depuis(1)|la(1)|partie(1)|sup(1)|de(1)|l(1)
abrasion;5;ouvrage(2)|venue(1)|d(1)|eau(1)|depuis(1)|la(1)|partie(1)|sup(1)|de(1)|l(1)
aile est;0;
est attaqu;0;
attaqu par;0;
gel et;0;
par un;0;
abrasion toute;0;
seau;3;entretien(3)|l(2)|automne(2)|du(1)|bassin(1)|est(1)|pr(1)|vu(1)|pour(1)|du bassin(1)
r seau;0;
seau d;0;
porte corrod;0;
apparentes au;0;
anciennes;25;rhabillage(6)|en(3)|surface(3)|effectu(3)|en surface(3)|surface effectu(3)|aucune(1)|trace(1)|d(1)|eau(1)
maintenant;12;rhabillage(6)|en(3)|surface(3)|effectu(3)|en surface(3)|surface effectu(3)|lessivage(3)|r(2)|par(2)|r par(2)
sec;27;
anciennes taches;0;
taches humides;0;
humides maintenant;0;
maintenant sec;0;
purger;1;
d clat;0;
clat purger;0;
notamment;4;
30 50;0;
partie centrale;0;
normes;4;
aux normes;0;
normes et;0;
exigences actuelles;0;
li au;0;
gonflement des;0;
en dessous;0;
dessous ouverture;0;
joints refaits;0;
concentr;6;
chaux g;0;
ralis mais;0;
mais concentr;0;
concentr proche;0;
abrasion de;0;
au sel;0;
certains joints;0;
joints pr;0;
ainsi que;0;
t pos;0;
pos sur;0;
humide constat;0;
inject;2;autoroute(3)|transversale(3)|travail(2)|herens(2)|ce(1)|a(1)|t(1)|r(1)|alis(1)|en(1)
fissures inject;0;
inject es;0;
orientation dans;0;
le sens;0;
sens du;0;
ton par;0;
par les;0;
eclat;52;armature(10)|corrod(6)|enrobage(6)|d(4)|apparente(4)|l(3)|absence(3)|e(3)|constate(2)|g(2)
nue;94;de(29)|corrosion(27)|armatures(27)|efflorescences(19)|en(19)|la(15)|de la(13)|d(12)|a(12)|surface(11)
ton ponctuel;0;
ponctuel qui;0;
provoqu une;0;
une mise;0;
mise nue;0;
faut ponctuel;0;
rouille dues;0;
un enrobage;0;
insuffisant ponctuellement;0;
suivant;1;
g3531d;1;
re la;0;
ouvrage suivant;0;
suivant g3531d;0;
armatures inf;0;
est insuffisant;0;
insuffisant proche;0;
rocher;2;
encore;4;
possible;3;
de rocher;0;
rocher sur;0;
pierre encore;0;
encore possible;0;
etancheit;2;
t amont;0;
amont pr;0;
duction;4;
eclats de;0;
ton proche;0;
sans r;0;
on;3225;de(305)|sup(117)|non(107)|fissures(105)|d(95)|non sup(94)|et(87)|la(84)|0(82)|l(80)
de fa;0;
fa on;0;
on g;0;
croch;4;
plaques m;0;
m talliques;0;
talliques d;0;
d croch;0;
croch es;0;
es de;0;
ceci;6;est(2)|r(2)|consid(2)|le(1)|mur(1)|alis(1)|en(1)|deux(1)|temps(1)|ceci(1)
ceci n;0;
sommet;7;
commencer;1;
former;1;
ras sommet;0;
sommet du;0;
mur qui;0;
qui peut;0;
peut commencer;0;
ist angerostet;0;
vom rohr;0;
ist fl;0;
chig angerostet;0;
und kiesnester;0;
fissures superficielles;0;
superficielles ouverture;0;
d collement;1;
collement d;0;
des belags;0;
belags um;0;
cm keine;0;
keine offene;0;
offene fuge;0;
auftrieb;2;bis(2)|ca(2)|50(2)|mm(2)|bis ca(2)|ca 50(2)|50 mm(2)|rohr(1)|gebrochen(1)|durch(1)
becken;119;bis(2)|ca(2)|50(2)|mm(2)|bis ca(2)|ca 50(2)|50 mm(2)|insgesamt(2)|verletzungsgefahr(2)|bei(2)
identisch;2;bis(2)|ca(2)|50(2)|mm(2)|bis ca(2)|ca 50(2)|50 mm(2)|rohr(1)|gebrochen(1)|durch(1)
setzung leitung;0;
leitung oder;0;
oder auftrieb;0;
auftrieb becken;0;
becken da;0;
da bei;0;
bei ein;0;
und auslauf;0;
auslauf identisch;0;
retrait plastique;0;
infolge aar;0;
aar bis;0;
hin;32;betr(2)|gt(2)|betr gt(2)|sichtbar(1)|durch(1)|ausfl(1)|sse(1)|unten(1)|sichtbar durch(1)|durch ausfl(1)
hungen weisen;0;
weisen auf;0;
auskragung;1;
korrosion aufgrund;0;
von entw;0;
sserungsrohr mit;0;
mit zu;0;
gering auskragung;0;
efeubewuchs;2;
d execution;0;
enduit;4;commence(2)|tache(1)|de(1)|rouille(1)|a(1)|tre(1)|visible(1)|en(1)|surface(1)|tache de(1)
peinture enduit;0;
avec ecaillage;0;
ecaillage du;0;
efeu;84;supprim(2)|max(2)|rissbreite(2)|bis(2)|mm(2)|max rissbreite(2)|rissbreite bis(2)|aucun(1)|probl(1)|me(1)
bewachsen mit;0;
mit efeu;0;
hv;6;
mit hv;0;
hv verf;0;
bei dillatationsfugen;0;
flexion;3;
de flexion;0;
pli;22;assainissement(4)|du(4)|entreprise(4)|en(3)|parapet(2)|avec(2)|mortier(2)|2018(2)|par(2)|l(2)
grillage pli;0;
pli ou;0;
ou arrach;0;
arrach du;0;
du montant;0;
constat modification;0;
trique;11;colmat(2)|inspection(2)|mettre(2)|jour(2)|mistra(2)|mettre jour(2)|jour mistra(2)|une(1)|partie(1)|des(1)
autre;22;fissures(12)|de(7)|l(7)|ces fissures(5)|ouvertures(4)|la(3)|torsion(3)|et(3)|affouillement(3)|longitudinal(3)
3mm pour;0;
l un;0;
un et;0;
et fracture;0;
ton l;0;
chelle centim;0;
centim trique;0;
trique pour;0;
l autre;0;
nass;89;der(2)|zur(1)|zeit(1)|inspektion(1)|starke(1)|regenf(1)|lle(1)|zur zeit(1)|zeit der(1)|der inspektion(1)
lokal auch;0;
auch nass;0;
remplac;25;migr(3)|dans(3)|migr dans(3)|caisson(2)|dans caisson(2)|constatation(2)|autre(1)|ci(1)|dessus(1)|dans autre(1)
derniers;5;
distinguables;1;
a recouvert;2;
recouvert les;0;
les nids;0;
gravier ces;0;
derniers sont;0;
sont encore;0;
encore distinguables;0;
par endroit;0;
ton avec;0;
aucune constatation;0;
directives;4;
aux directives;0;
directives ofrou;0;
apparentes proche;0;
proche du;0;
e gsb;0;
constat sur;0;
graffiti constat;0;
avec grande;0;
mm fissure;0;
plastic;1;t(3)|la(2)|bordure(2)|a(2)|a t(2)|r(1)|par(1)|e(1)|et(1)|te(1)
de plastic;0;
plastic dans;0;
glace;7;
301;1;
de glace;0;
glace constat;0;
e voir;0;
starker bewuchs;0;
supprimer;53;de(3)|e(3)|non(2)|relev(2)|non relev(2)|relev e(2)|supprim(2)|carbonate(2)|en(2)|construit(2)
double;1;
constation supprimer;0;
supprimer car;0;
car double;0;
dans toutes;0;
les directions;0;
au gonglement;0;
und abgeplatzte;0;
des mauerwerks;0;
obere h;0;
h lfte;0;
lfte der;0;
mauer hat;0;
hat fl;0;
chigen bewuchs;0;
kein mehr;0;
durchflasche;1;
verstopfte leitung;0;
leitung durchflasche;0;
mesurable estim;0;
non raccord;0;
raccord es;0;
an stahlteilen;0;
stahlteilen der;0;
der gel;0;
gel nderverankerung;0;
e rod;0;
rod armature;0;
armature visible;0;
rement rouill;0;
rouill d;0;
d autres;0;
autres du;0;
eclatement en;0;
pipettes avec;0;
armature particuli;0;
rement au;0;
wie moos;0;
2203;1;
observ corrosion;0;
voir 2203;0;
2203 cette;0;
tre supprim;0;
tendu;59;
peu tendu;0;
tendu peu;0;
peu important;0;
plaquette;1;
de num;0;
ro de;0;
pile manquante;0;
assise;2;
ton sous;0;
sous plaque;0;
ouverture vraisemblablement;0;
diagonales;5;
rehausse;3;
fissures diagonales;0;
diagonales parall;0;
parall les;0;
la rehausse;0;
45 degr;0;
fissures vraisemblablement;0;
panneau;8;
du panneau;0;
ages localis;0;
tiges m;0;
des anciennes;0;
anciennes glissi;0;
certaines fissures;0;
tache localement;0;
corrosion sur;0;
der kleinen;0;
kleinen mauer;0;
mauer seite;0;
simplon abgeplatzt;0;
nischendecke;2;
rtelt;2;
lose fugen;0;
wurden entfernt;0;
entfernt und;0;
und neu;0;
neu verm;0;
verm rtelt;0;
messbar;3;
gabi;2;
geb;53;bernommen(2)|hi(2)|2024(2)|hi 2024(2)|aus(1)|bernommen aus(1)|aus hi(1)|von(1)|von hi(1)|2024 bernommen(1)
ude;7;insgesamt(2)|ca(1)|28(1)|0(1)|m(1)|ca 28(1)|28 0(1)|0 m(1)
ssige verschiebung;0;
simplon messbar;0;
messbar an;0;
der station;0;
station gabi;0;
gabi kleines;0;
kleines geb;0;
geb ude;0;
um 10;0;
mm richtung;0;
richtung strasse;0;
une teneur;0;
teneur lev;0;
indice;2;rifier(4)|a(2)|v(2)|par(2)|des(2)|essais(2)|a v(2)|rifier par(2)|par des(2)|des essais(2)
veloppement;10;rieures(14)|0(11)|fissures(10)|3(9)|mm(9)|0 3(9)|inf(7)|fissures inf(7)|inf rieures(7)|3 mm(7)
indice de;0;
rohrrand hat;0;
chendeckend;1;
rechen ist;0;
chendeckend angerostet;0;
deformationen;5;
ttung;1;
rohr weist;0;
weist mehrere;0;
mehrere deformationen;0;
deformationen durch;0;
steine der;0;
der aufsch;0;
aufsch ttung;0;
ttung auf;0;
kolkschutzverbauung;2;
durchlassrichtung;1;
cken quer;0;
zur fluss;0;
fluss oder;0;
durchlassrichtung durchgehend;0;
chenabnutzung;1;
betonfl;1;
kiesnester oberfl;0;
oberfl chenabnutzung;0;
der betonfl;0;
betonfl chen;0;
signalisation;1;
l ancienne;0;
ancienne signalisation;0;
distorsion;4;
passant;1;
passant localement;0;
localement plusieurs;0;
calcaire avec;0;
efflorescence aux;0;
milim;5;colmat(2)|inspection(2)|une(1)|partie(1)|des(1)|fissures(1)|pr(1)|sentent(1)|sur(1)|les(1)
chelle milim;0;
milim trique;0;
doublon;14;fissures(12)|de(7)|l(7)|ces fissures(5)|ouvertures(4)|la(3)|torsion(3)|et(3)|affouillement(3)|longitudinal(3)
doublon avec;0;
avec autre;0;
viaduc;1;
clav;1;
joint entre;0;
deux viaduc;0;
viaduc clav;0;
pigeons;6;
de pigeons;0;
d terioration;0;
carotage;9;
de carotage;0;
carotage dans;0;
rales;3;suspicion(2)|de(1)|rag(1)|de rag(1)
mortier mais;0;
mais absence;0;
faces lat;0;
rales qui;0;
qui sont;0;
sont actuellement;0;
actuellement endommag;0;
une autre;0;
la fissure;0;
w 1;0;
a 5;0;
rouille avec;0;
fers;24;
fers l;0;
inclin;10;constatation(3)|supprim(2)|e(1)|car(1)|doublon(1)|avec(1)|sur(1)|le(1)|mur(1)|d(1)
rification;2;
fissure inclin;0;
s tend;0;
tend de;0;
appui avec;0;
plusieurs millim;0;
millim tres;0;
tres w;0;
w 4;0;
mm v;0;
cessaire fissure;0;
fissure peut;0;
tre due;0;
due une;0;
une d;0;
d l;0;
de coffrage;0;
coffrage de;0;
2023;1;
faite;4;
pluie;6;humidit(2)|rhabillage(2)|plus(1)|d(1)|avec(1)|le(1)|plus d(1)|humidit avec(1)|avec le(1)
sur cul;0;
2023 faite;0;
faite par;0;
par forte;0;
forte pluie;0;
pluie pas;0;
it apparent;0;
apparent dans;0;
caisson trav;0;
ouverture inclin;0;
environ 45;0;
angle rev;0;
enrobage insuffisant;0;
redondante;2;
509;2;
constatation redondante;0;
redondante voir;0;
voir 509;0;
homme;5;
constatation idem;0;
idem que;0;
rieure tache;0;
des trous;0;
trous d;0;
d homme;0;
homme dans;0;
armatures sont;0;
ssoi;1;
doublon de;0;
constatation avec;0;
autre ssoi;0;
excessive;1;
la fl;0;
che du;0;
tablier en;0;
en trav;1;
centrale para;0;
para t;0;
profondeur;3;pr(1)|sence(1)|d(1)|un(1)|terrier(1)|pr sence(1)|sence d(1)|d un(1)|un terrier(1)
ponctuellement trou;0;
environ 60;0;
et 10;0;
armature mise;0;
choc constat;0;
doublon dans;0;
autre sous;0;
accompagn;3;
incontr;2;
lable;22;fissures(10)|mm(9)|0(8)|jusqu(6)|fissures jusqu(6)|jusqu 1(6)|rieures(6)|surface(5)|fortement(5)|alt(5)
cause;5;
sciure;1;
poussi;2;
sci;3;
permettre;1;
certainement;5;supprim(4)|constatation(3)|peut(2)|tre(2)|e(2)|constatation peut(2)|peut tre(2)|tre supprim(2)|la(1)|cette(1)
sultat;3;
enlevement;1;
surface incontr;0;
incontr lable;0;
lable cause;0;
cause de;0;
de sciure;0;
sciure de;0;
bois et;0;
et poussi;0;
poussi res;0;
rieur a;0;
t sci;0;
sci pour;0;
pour permettre;0;
l acc;0;
acc s;0;
s au;0;
caisson la;0;
la sciure;0;
les poussi;0;
res est;0;
sultat des;0;
alis s;0;
tation sur;0;
en parement;0;
route l;0;
rement obstru;0;
fer apparent;0;
mes;46;armature(2)|rement(2)|corrod(2)|de(2)|non(2)|sup(2)|rieur(2)|non sup(2)|sup rieur(2)|l(1)
traces des;0;
des panneaux;0;
panneaux de;0;
coffrage galement;0;
galement pr;0;
les mes;0;
mes l;0;
sordre;19;traces(1)|des(1)|panneaux(1)|de(1)|coffrage(1)|traces des(1)|des panneaux(1)|panneaux de(1)|de coffrage(1)|fissure(1)
e car;0;
car d;0;
finition;3;
de finition;0;
finition du;0;
ton probablemen;0;
piquage;3;
