Description_ngram;Count;PerMille;Associated_Comments
von diesem;1;0.02;
bereich eher;1;0.02;
eher im;1;0.02;
diesem durchlass;1;0.02;
durchlass ein;1;0.02;
kleinen t;1;0.02;
t nnchen;1;0.02;
ein l;1;0.02;
galerie engi;1;0.02;
rag et;1;0.02;
chaux d;1;0.02;
engi betrachtet;1;0.02;
rouille galement;1;0.02;
aufstauen von;1;0.02;
betrachtet liegt;1;0.02;
feuchtigkeit hinter;1;0.02;
zwei spurrinnen;1;0.02;
spurrinnen auf;1;0.02;
liegt dieser;1;0.02;
dieser durchlass;1;0.02;
durchlass direkt;1;0.02;
hinter s5075g;1;0.02;
s5075g bei;1;0.02;
bei welchem;1;0.02;
den diagonalen;1;0.02;
diagonalen rissen;1;0.02;
den schalungsfugen;1;0.02;
ganzen wandoberfl;1;0.02;
5mm sans;1;0.02;
sence ponctuelle;1;0.02;
welchem das;1;0.02;
flickstellen neben;1;0.02;
fuge auf;1;0.02;
kante mit;1;0.02;
bereich rissbreite;1;0.02;
nge 60;1;0.02;
vertikaler durchgehender;1;0.02;
in wandmitte;1;0.02;
wandmitte mit;1;0.02;
riss nicht;1;0.02;
vorhanden da;1;0.02;
da eventuell;1;0.02;
eventuell der;1;0.02;
rohr verstopft;1;0.02;
riss eine;1;0.02;
eine andeutung;1;0.02;
andeutung der;1;0.02;
abplatzung gewesen;1;0.02;
gewesen ist;1;0.02;
bergang zu;1;0.02;
zu wand;1;0.02;
wand unterf;1;0.02;
verschiebung im;1;0.02;
gelmauer erkennbar;1;0.02;
erkennbar am;1;0.02;
am versatz;1;0.02;
versatz 8;1;0.02;
mm neben;1;0.02;
der betonwand;1;0.02;
vier risse;1;0.02;
risse quer;1;0.02;
zur unterf;1;0.02;
hrung an;1;0.02;
decke ein;1;0.02;
riss hat;1;0.02;
hat lokal;1;0.02;
lokal aussinterungen;1;0.02;
verstopft eingest;1;0.02;
bis 250;1;0.02;
250 cm;1;0.02;
d obstruction;1;0.02;
obstruction de;1;0.02;
sortie par;1;0.02;
tation v;1;0.02;
rzt ist;1;0.02;
normale pour;1;0.02;
innenseite des;1;0.02;
une sortie;1;0.02;
einlauf trichters;1;0.02;
eau constatation;1;0.02;
trichters abgerieben;1;0.02;
angerostete freigelegte;1;0.02;
rostflecken neben;1;0.02;
rostflecken entlang;1;0.02;
der h;1;0.02;
he neben;1;0.02;
abgeplatzte kante;1;0.02;
kante neben;1;0.02;
neben anschlussfuge;1;0.02;
zwei diagonale;1;0.02;
diagonale biegerisse;1;0.02;
biegerisse mit;1;0.02;
diagonaler biegeriss;1;0.02;
biegeriss von;1;0.02;
unteren ecke;1;0.02;
ecke an;1;0.02;
bewehrung rechts;1;0.02;
mitte hin;1;0.02;
hin verlaufend;1;0.02;
rechts vom;1;0.02;
nge 100;1;0.02;
de film;1;0.02;
film plastique;1;0.02;
plastique dans;1;0.02;
ton cause;1;0.02;
cher zu;1;0.02;
beginn und;1;0.02;
und am;1;0.02;
gelmauer links;1;0.02;
links rissbreite;1;0.02;
infolge angerosteter;1;0.02;
cm vermutlich;1;0.02;
mehrere stellen;1;0.02;
fl gelwand;1;0.02;
gelwand am;1;0.02;
am wandende;1;0.02;
wandende 6;1;0.02;
6 eisen;1;0.02;
eisen nebeneinander;1;0.02;
im sockelbereich;1;0.02;
appui du;1;0.02;
du sommier;1;0.02;
sommier sur;1;0.02;
pile n;1;0.02;
pas suffisante;1;0.02;
rouille;1;0.02;aucune photo(5)|photo des(4)|des ces(4)|ces constatations(4)|constatations disponibles(4)|disponibles car(4)|car ne(4)|ne sont(4)|sont pas(4)|pas visibles(4)|chauss e(3)|peut tre(3)|d faut(2)|faut d(2)|tanch it(2)|it du(2)|du joint(2)|situ entre(2)|entre les(2)|les deux(2)|deux chauss(2)|e difficile(2)|difficile d(2)|d acc(2)|acc s(2)|tre supprim(2)|de la(2)|de l(2)|r sultat(1)|sultat du(1)|du d(1)|d tanch(1)|joint de(1)|de chauss(1)|e chalais(1)|chalais voir(1)|voir 501(1)|migr dans(1)|dans dalle(1)|dalle inf(1)|d ex(1)|ex cution(1)|non constat(1)|l tanch(1)|joint pose(1)|pose d(1)|d un(1)|un combiflex(1)|combiflex a(1)|a t(1)|t faite(1)|faite durant(1)|durant l(1)|l hiver(1)|hiver 2019(1)|2019 suite(1)|suite des(1)|des venues(1)|venues d(1)|d eau(1)|ce d(1)|d g(1)|g t(1)|t peut(1)|les raccords(1)|raccords avec(1)|avec les(1)|les joints(1)|joints de(1)|de transition(1)|transition viennet(1)|viennet de(1)|de tre(1)|tre refaits(1)|refaits l(1)|l efficacit(1)|efficacit de(1)|la mesure(1)|mesure peut(1)|tre valu(1)|valu e(1)|e lors(1)|lors de(1)|la prochaine(1)|prochaine inspection(1)|inspection principale(1)|principale aucune(1)|photo n(1)|n est(1)|est disponible(1)|disponible de(1)|l tat(1)|tat pr(1)|pr c(1)|c dent(1)|dent de(1)|l entretoise(1)|cette constatation(1)|constatation peut(1)|supprim e(1)
colmatage de;1;0.02;
durch korrosion;1;0.02;
d go;1;0.02;
go ts;1;0.02;
ts dans;1;0.02;
d versoir;1;0.02;
l ngseisens;1;0.02;
du couloir;1;0.02;
humide tendue;1;0.02;
tendue au;1;0.02;
la descente;1;0.02;
descente d;1;0.02;
verticale isol;1;0.02;
isol e;1;0.02;
ouverture int;1;0.02;
ngseisens hervorgerufen;1;0.02;
continuit du;1;0.02;
joint jusqu;1;0.02;
jusqu en;1;0.02;
en rive;1;0.02;
usure normal;1;0.02;
normal par;1;0.02;
une la;1;0.02;
hrung entlang;1;0.02;
neige cette;1;0.02;
durch kleinere;1;0.02;
kleinere str;1;0.02;
und pflanzen;1;0.02;
pflanzen durch;1;0.02;
die offenen;1;0.02;
entlang st;1;0.02;
leitung durch;1;0.02;
durch loses;1;0.02;
loses gestein;1;0.02;
tze 16;1;0.02;
rtels teilweise;1;0.02;
auch hohlstellen;1;0.02;
16 aufgrund;1;0.02;
aufgrund galeriedachentw;1;0.02;
galeriedachentw sserungsrohr;1;0.02;
environ 1mm;1;0.02;
de motier;1;0.02;
motier au;1;0.02;
querriss in;1;0.02;
travers rev;1;0.02;
tement rebouch;1;0.02;
rebouch e;1;0.02;
un produit;1;0.02;
produit bitumineux;1;0.02;
continuit avec;1;0.02;
deckbeschichtung der;1;0.02;
der beschilderung;1;0.02;
beschilderung abgel;1;0.02;
mauer beim;1;0.02;
den fels;1;0.02;
angerostete stahlanker;1;0.02;
stahlanker am;1;0.02;
am deckenrand;1;0.02;
d importante;1;0.02;
importante fissure;1;0.02;
cisaillement ont;1;0.02;
im durchlassrohr;1;0.02;
piles une;1;0.02;
une surveillance;1;0.02;
surveillance de;1;0.02;
de ces;1;0.02;
est demand;1;0.02;
rostspuren lokal;1;0.02;
eau apparition;1;0.02;
apparition due;1;0.02;
coulures d;1;0.02;
eclat en;1;0.02;
pile reprofilage;1;0.02;
reprofilage recommand;1;0.02;
ecaillage en;1;0.02;
trasse de;1;0.02;
re efflorescence;1;0.02;
efflorescence au;1;0.02;
lokal am;1;0.02;
entre pierres;1;0.02;
ger disjointoiement;1;0.02;
disjointoiement du;1;0.02;
du rang;1;0.02;
rang sup;1;0.02;
pile d;1;0.02;
grad avec;1;0.02;
am mauerfl;1;0.02;
en temps;1;0.02;
temps de;1;0.02;
de pluie;1;0.02;
pierre et;1;0.02;
et bloc;1;0.02;
bloc sur;1;0.02;
insuffisant des;1;0.02;
einer betonieretappe;1;0.02;
kiesnester und;1;0.02;
kiesnester von;1;0.02;
fissures des;1;0.02;
joint usag;1;0.02;
dauerhafte nassstelle;1;0.02;
n y;1;0.02;
a plus;1;0.02;
plus d;1;0.02;
armature sur;1;0.02;
nassstelle ohne;1;0.02;
stadium vereinzelt;1;0.02;
blechteile und;1;0.02;
und schrauben;1;0.02;
innenseite der;1;0.02;
im geringen;1;0.02;
sind angerostet;1;0.02;
lokal rostende;1;0.02;
rostende schrauben;1;0.02;
chenhafte korrosion;1;0.02;
sohle und;1;0.02;
seitlich am;1;0.02;
am rohr;1;0.02;
geringen ausmass;1;0.02;
bereich unter;1;0.02;
vereinzelte kalkausscheidungen;1;0.02;
strasse betroffen;1;0.02;
betroffen ist;1;0.02;
die rohrwandung;1;0.02;
rohrwandung seite;1;0.02;
pass ausgehend;1;0.02;
kalkausscheidungen;1;0.02;
der stahlverbindung;1;0.02;
4mm forte;1;0.02;
abgeplatzte ecke;1;0.02;
der betondecke;1;0.02;
oder anprallsch;1;0.02;
den auf;1;0.02;
ecke neben;1;0.02;
rohr vom;1;0.02;
vom benzinabscheider;1;0.02;
benzinabscheider hat;1;0.02;
hat auf;1;0.02;
seite vom;1;0.02;
einlauf l;1;0.02;
cher das;1;0.02;
nicht ordnungsgem;1;0.02;
ordnungsgem ss;1;0.02;
ss ber;1;0.02;
den labscheider;1;0.02;
stahlteile an;1;0.02;
der tropfwasser;1;0.02;
tropfwasser abfangblech;1;0.02;
abfangblech unter;1;0.02;
unter grosser;1;0.02;
grosser schachtabdeckungen;1;0.02;
forte humidit;1;0.02;
horizontales suspicion;1;0.02;
placement horizontal;1;0.02;
der ostwand;1;0.02;
und br;1;0.02;
horizontal de;1;0.02;
den schachtabdeckungen;1;0.02;
die bohrung;1;0.02;
bohrung der;1;0.02;
longrine b;1;0.02;
b tonn;1;0.02;
ffnung freigelegte;1;0.02;
stark gerostete;1;0.02;
gerostete stahlteile;1;0.02;
stahlteile der;1;0.02;
der leiter;1;0.02;
leiter im;1;0.02;
transversale entre;1;0.02;
tonn e;1;0.02;
deux sommiers;1;0.02;
e derri;1;0.02;
variable horizontales;1;0.02;
ouvrage sur;1;0.02;
zickzack verlaufende;1;0.02;
console de;1;0.02;
chaux au;1;0.02;
fissur avec;1;0.02;
avec orni;1;0.02;
verlaufende lose;1;0.02;
teils abgeplatzte;1;0.02;
mehrere verschiebungen;1;0.02;
1m pas;1;0.02;
et calcite;1;0.02;
steinreihe verschiebungen;1;0.02;
anprall infolge;1;0.02;
infolge fahrzeug;1;0.02;
tal mit;1;0.02;
dehnprofil weist;1;0.02;
weist teilweise;1;0.02;
teilweise wellen;1;0.02;
zu 7;1;0.02;
einem bereich;1;0.02;
bereich insgesamt;1;0.02;
verschmutzt an;1;0.02;
untersicht resp;1;0.02;
resp in;1;0.02;
insgesamt leichte;1;0.02;
widerlagerkammer zur;1;0.02;
inspektion sind;1;0.02;
leichte verschiebungen;1;0.02;
undichtigkeiten zu;1;0.02;
5 aller;1;0.02;
reihen in;1;0.02;
tzmauer ca;1;0.02;
den gesamten;1;0.02;
gelmauer seite;1;0.02;
aufgrund bewegungskorrosion;1;0.02;
bewegungskorrosion circa;1;0.02;
circa 5;1;0.02;
gesamten 25;1;0.02;
mit ber;1;0.02;
ber 30;1;0.02;
kleine wassersinterungen;1;0.02;
aufgrund einer;1;0.02;
einer entw;1;0.02;
wassersinterungen bzw;1;0.02;
kleiner rostfleck;1;0.02;
rostfleck festgestellt;1;0.02;
gig teilweise;1;0.02;
bzw kalkausscheidungen;1;0.02;
kleinen aussinterungen;1;0.02;
lokal geringf;1;0.02;
rostfleck als;1;0.02;
bei diversen;1;0.02;
sichtbare besch;1;0.02;
besch digtes;1;0.02;
digtes dehnprofil;1;0.02;
dehnprofil undichter;1;0.02;
armatures nu;1;0.02;
infolge feuchtigkeit;1;0.02;
verschmutzung u;1;0.02;
a autobaterien;1;0.02;
eines anpralls;1;0.02;
anpralls von;1;0.02;
einem fahrzeug;1;0.02;
nu corrod;1;0.02;
2m 1;1;0.02;
den befestigungen;1;0.02;
befestigungen der;1;0.02;
der sammelleitung;1;0.02;
nassstellen oder;1;0.02;
oder der;1;0.02;
der wasserspuren;1;0.02;
fissure fortement;1;0.02;
fortement infiltr;1;0.02;
centre c;1;0.02;
environ 25;1;0.02;
25 x;1;0.02;
10 cm2;1;0.02;
cm2 avec;1;0.02;
t st;1;0.02;
st maurice;1;0.02;
e estim;1;0.02;
maurice ouvertures;1;0.02;
ouvertures localement;1;0.02;
localement probablement;1;0.02;
de hauteur;1;0.02;
verschmutzung der;1;0.02;
mit weisser;1;0.02;
weisser farbe;1;0.02;
farbe vermutlich;1;0.02;
vermutlich markierungsfarbe;1;0.02;
markierungsfarbe der;1;0.02;
der strassenmarkierung;1;0.02;
rtel rundum;1;0.02;
rundum verankerung;1;0.02;
bei wasseraustrittstellen;1;0.02;
graffiti;1;0.02;de la(2)|ce d(1)|d g(1)|g t(1)|t ne(1)|ne d(1)|d teriore(1)|teriore pas(1)|pas la(1)|la fonctionnalit(1)|fonctionnalit de(1)|la paroi(1)|paroi anti(1)|anti bruit(1)|bruit toutefois(1)|toutefois il(1)|il repr(1)|repr sente(1)|sente une(1)|une pollution(1)|pollution visuelle(1)|visuelle aux(1)|aux usagers(1)|usagers de(1)|la route(1)
largeur max;1;0.02;
steinreihen wegen;1;0.02;
wegen verschiebung;1;0.02;
mm chaque;1;0.02;
chaque 2;1;0.02;
plusieurs blocs;1;0.02;
mauer verteilt;1;0.02;
pierre d;1;0.02;
environ 10;1;0.02;
cm gonflement;1;0.02;
leichter berstand;1;0.02;
berstand des;1;0.02;
des deckbelags;1;0.02;
dehnprofil ist;1;0.02;
ist gerissen;1;0.02;
weist wellen;1;0.02;
verschmutzt in;1;0.02;
widerlagerkammer kommt;1;0.02;
verteilt geringf;1;0.02;
zu wasseransammlung;1;0.02;
wasseransammlung was;1;0.02;
durchgehend netzartige;1;0.02;
eine undichtigkeit;1;0.02;
netzartige ausw;1;0.02;
bergangs hinzudeuten;1;0.02;
hinzudeuten ist;1;0.02;
ausw chse;1;0.02;
peut constater;1;0.02;
constater que;1;0.02;
que ce;1;0.02;
chse sehr;1;0.02;
par mais;1;0.02;
mais qu;1;0.02;
aar gesamthaft;1;0.02;
gesamthaft in;1;0.02;
est r;1;0.02;
r apparu;1;0.02;
largeur maximale;1;0.02;
clatement probablement;1;0.02;
gel ou;1;0.02;
ou manque;1;0.02;
manque de;1;0.02;
goujon d;1;0.02;
stadium an;1;0.02;
raccord lat;1;0.02;
normale et;1;0.02;
et entretenue;1;0.02;
von geb;1;0.02;
in mittlerem;1;0.02;
schen gr;1;0.02;
gig ca;1;0.02;
netzrisse;1;0.02;risse mit(8)|mit einem(8)|einem f(8)|f r(8)|r aar(8)|aar typisches(8)|typisches rissbild(8)|verdacht auf(6)|auf aar(4)|aar risse(4)|erste anzeichen(2)|anzeichen mit(2)|mit verdacht(2)|auf eine(2)|eine aar(2)|teilweise verschuldet(1)|verschuldet durch(1)|durch ungen(1)|ungen gendes(1)|gendes verdichten(1)|verdichten des(1)|des betons(1)|ingesamt ca(1)|ca 40(1)|40 m2(1)|rissbreite bis(1)|bis 2(1)|2 0(1)|0 mm(1)|insgesamt 5(1)|5 m(1)|auf ca(1)|ca 10(1)|10 der(1)|der fl(1)|fl che(1)|insgesamt ca(1)|ca 70(1)|70 0(1)|0 m2(1)
bei dilatationsfugen;1;0.02;
fissures tous;1;0.02;
petite zone;1;0.02;
pieds d;1;0.02;
rissen bei;1;0.02;
inspektion alle;1;0.02;
alle trocken;1;0.02;
querrisse ca;1;0.02;
eingewachsene fundamentplatten;1;0.02;
fundamentplatten nicht;1;0.02;
korrosionsspuren von;1;0.02;
von r;1;0.02;
r deldr;1;0.02;
deldr hten;1;0.02;
et fers;1;0.02;
fers apparents;1;0.02;
aufgrund dachentw;1;0.02;
sserung welche;1;0.02;
welche auch;1;0.02;
nicht kontrollierbar;1;0.02;
stung tropft;1;0.02;
identifi es;1;0.02;
ouverture principalement;1;0.02;
principalement inf;1;0.02;
5mm dont;1;0.02;
kontrollierbar fundamente;1;0.02;
fundamente vollst;1;0.02;
localement une;1;0.02;
ndig berdeckt;1;0.02;
de 8mm;1;0.02;
nassstelle und;1;0.02;
und dunkle;1;0.02;
dunkle fliessspuren;1;0.02;
eingewachsen vor;1;0.02;
une ouvertute;1;0.02;
ouvertute jusqu;1;0.02;
st tzenfundamente;1;0.02;
armature apparentes;1;0.02;
tzenfundamente sind;1;0.02;
cm erdmaterial;1;0.02;
st tzenfundament;1;0.02;
tzenfundament bis;1;0.02;
ofrou substance;1;0.02;
ton laissant;1;0.02;
laissant appara;1;0.02;
appara tre;1;0.02;
tre les;1;0.02;
les granulats;1;0.02;
granulats localement;1;0.02;
innen teilweise;1;0.02;
aussinterungen aussen;1;0.02;
aussen grossmehrheitlich;1;0.02;
grossmehrheitlich ca;1;0.02;
correspond aucun;1;0.02;
erdmaterial bedeckt;1;0.02;
bedeckt zudem;1;0.02;
zudem stark;1;0.02;
im aufbeton;1;0.02;
aufbeton bis;1;0.02;
zwangsrisse vereinzelt;1;0.02;
stark berwachsene;1;0.02;
systematisch bis;1;0.02;
in offenen;1;0.02;
fugen an;1;0.02;
beton berzug;1;0.02;
berwachsene anker;1;0.02;
oder abgeplatzt;1;0.02;
die unterseite;1;0.02;
unterseite der;1;0.02;
der betonmauerkrone;1;0.02;
betonmauerkrone hat;1;0.02;
hat verf;1;0.02;
rbungen und;1;0.02;
entsprechend befund;1;0.02;
ausmass weniger;1;0.02;
weniger als;1;0.02;
als 5;1;0.02;
befund ist;1;0.02;
allem sichtbar;1;0.02;
stirnseite risse;1;0.02;
aufgrund regenwetter;1;0.02;
regenwetter nicht;1;0.02;
nicht zu;1;0.02;
zu verifizieren;1;0.02;
gender betonqualit;1;0.02;
t mit;1;0.02;
mit freiliegenden;1;0.02;
freiliegenden leicht;1;0.02;
leicht korrodierten;1;0.02;
korrodierten stahlst;1;0.02;
stahlst ben;1;0.02;
der verbindungsglieder;1;0.02;
mur ponctuellement;1;0.02;
ponctuellement sur;1;0.02;
2m d;1;0.02;
verbindungsglieder befund;1;0.02;
annehmbar stahlschneebr;1;0.02;
cke 18;1;0.02;
18 19;1;0.02;
en 2018;1;0.02;
ngsriss teilweise;1;0.02;
19 21;1;0.02;
21 22;1;0.02;
chsen bis;1;0.02;
22 24;1;0.02;
wenigen fugen;1;0.02;
fugen im;1;0.02;
choc d;1;0.02;
un v;1;0.02;
hicule r;1;0.02;
24 30;1;0.02;
par rhabillage;1;0.02;
30 zus;1;0.02;
me tat;1;0.02;
tat qu;1;0.02;
2019 avec;1;0.02;
tzlich rost;1;0.02;
rieure entre;1;0.02;
chocs superficielles;1;0.02;
superficielles peinture;1;0.02;
peinture sont;1;0.02;
am diagonalgeflecht;1;0.02;
diagonalgeflecht befund;1;0.02;
mm de;1;0.02;
humides ponctuelles;1;0.02;
ponctuelles vers;1;0.02;
t aproz;1;0.02;
a un;1;0.02;
mur plus;1;0.02;
un terre;1;0.02;
plein au;1;0.02;
ce terre;1;0.02;
plein est;1;0.02;
stahlblech anprallblech;1;0.02;
anprallblech beim;1;0.02;
stahlblech beim;1;0.02;
est quip;1;0.02;
est absente;1;0.02;
absente dans;1;0.02;
zone ayant;1;0.02;
ayant fait;1;0.02;
fait l;1;0.02;
quip d;1;0.02;
t griff;1;0.02;
un rhabillage;1;0.02;
transversale la;1;0.02;
griff son;1;0.02;
nord derri;1;0.02;
son comportement;1;0.02;
treillis localis;1;0.02;
es principalement;1;0.02;
principalement de;1;0.02;
comportement n;1;0.02;
autre du;1;0.02;
joint aux;1;0.02;
s ph;1;0.02;
ne plus;1;0.02;
pas alt;1;0.02;
important lat;1;0.02;
lat ralement;1;0.02;
ger graffiti;1;0.02;
graffiti est;1;0.02;
sent du;1;0.02;
largeur inf;1;0.02;
ngsriss versintert;1;0.02;
rostflecken mit;1;0.02;
mit leicht;1;0.02;
leicht freigelegterbewehrung;1;0.02;
riss sehr;1;0.02;
graffiti de;1;0.02;
de petite;1;0.02;
petite taille;1;0.02;
taille est;1;0.02;
sent en;1;0.02;
riss thormafuge;1;0.02;
thormafuge belag;1;0.02;
horizontales d;1;0.02;
wahrscheinlich aus;1;0.02;
aus setzungen;1;0.02;
rieure 5mm;1;0.02;
fissures c;1;0.02;
route fissures;1;0.02;
verschiebungen k;1;0.02;
1 10;1;0.02;
10 der;1;0.02;
der schutzwand;1;0.02;
einem fr;1;0.02;
nnte sein;1;0.02;
sein das;1;0.02;
stadium mit;1;0.02;
das der;1;0.02;
ngungen aus;1;0.02;
aus bewegungen;1;0.02;
bewegungen vom;1;0.02;
vom rutschhang;1;0.02;
teilweise behoben;1;0.02;
dont la;1;0.02;
dont certaine;1;0.02;
certaine avec;1;0.02;
der eine;1;0.02;
eine sm;1;0.02;
belag beim;1;0.02;
sm teil;1;0.02;
zwischen bauwerk;1;0.02;
bauwerk r1021;1;0.02;
r1021 und;1;0.02;
und r1001;1;0.02;
r1001 teilweise;1;0.02;
teilweise ohne;1;0.02;
ohne hv;1;0.02;
teil auf;1;0.02;
und feuchtigkeit;1;0.02;
aus undichter;1;0.02;
dem fels;1;0.02;
fuge bei;1;0.02;
der kragplatte;1;0.02;
ton direction;1;0.02;
fels liegt;1;0.02;
verschlechterung des;1;0.02;
ucher an;1;0.02;
korrosionsschutzes auf;1;0.02;
s mtlichen;1;0.02;
mauerkrone west;1;0.02;
west im;1;0.02;
mtlichen st;1;0.02;
feiner systematischer;1;0.02;
systematischer risse;1;0.02;
und sm;1;0.02;
sm west;1;0.02;
und ost;1;0.02;
ost im;1;0.02;
feiner risse;1;0.02;
im fugenm;1;0.02;
schneenetz nr;1;0.02;
netzrisse an;1;0.02;
an ansicht;1;0.02;
ansicht und;1;0.02;
und aufsicht;1;0.02;
mauerkrone an;1;0.02;
hinterseite vermehrt;1;0.02;
vermehrt versintert;1;0.02;
ume gr;1;0.02;
verspr dung;1;0.02;
dung und;1;0.02;
bewuchs zum;1;0.02;
zum jetzigen;1;0.02;
jetzigen zeitpunkt;1;0.02;
zeitpunkt jedoch;1;0.02;
jedoch noch;1;0.02;
nicht problematisch;1;0.02;
hinter resp;1;0.02;
resp teilweise;1;0.02;
auf st;1;0.02;
st tzmauerkrone;1;0.02;
abplatzungen durch;1;0.02;
durch frost;1;0.02;
nr 22;1;0.02;
mechanische einwirkungen;1;0.02;
vereinzelte fussplatten;1;0.02;
fussplatten sind;1;0.02;
sind betroffen;1;0.02;
betroffen und;1;0.02;
und klemmen;1;0.02;
teilweise ausgewaschener;1;0.02;
22 reparatur;1;0.02;
reparatur nach;1;0.02;
de fuite;1;0.02;
nach steinschlagereignis;1;0.02;
steinschlagereignis ein;1;0.02;
ein dreiecksnetz;1;0.02;
einzelne rohre;1;0.02;
rohre besch;1;0.02;
ni de;1;0.02;
de grappe;1;0.02;
grappe vie;1;0.02;
vie tr;1;0.02;
wurde vermutlich;1;0.02;
peu visible;1;0.02;
visible quasi;1;0.02;
quasi insignifiant;1;0.02;
trouv sur;1;0.02;
aile voir;1;0.02;
steinschlag stark;1;0.02;
parations et;1;0.02;
et ragr;1;0.02;
s effectu;1;0.02;
digt daraufhin;1;0.02;
daraufhin wurde;1;0.02;
wurde ein;1;0.02;
ein neues;1;0.02;
neues dreiecksnetz;1;0.02;
dreiecksnetz angebracht;1;0.02;
angebracht das;1;0.02;
das besch;1;0.02;
digte dreiecksnetz;1;0.02;
tassement tassement;1;0.02;
wurde belassen;1;0.02;
belassen die;1;0.02;
die abspannung;1;0.02;
abspannung des;1;0.02;
des neu;1;0.02;
neu angebrachten;1;0.02;
angebrachten dreiecknetzes;1;0.02;
dreiecknetzes ist;1;0.02;
la formation;1;0.02;
einem unzureichenden;1;0.02;
und folgesch;1;0.02;
unzureichenden stahlseildurchmessen;1;0.02;
stahlseildurchmessen 8mm;1;0.02;
aufgrund undichtkeit;1;0.02;
undichtkeit des;1;0.02;
8mm anstatt;1;0.02;
undichtigkeiten wegen;1;0.02;
wegen defektem;1;0.02;
defektem fahrbahn;1;0.02;
bergang im;1;0.02;
widerlager liegt;1;0.02;
liegt w;1;0.02;
anstatt 15mm;1;0.02;
hrend er;1;0.02;
er inspektion;1;0.02;
inspektion stehendes;1;0.02;
bei beiden;1;0.02;
beiden wl;1;0.02;
ausgequetschte innnedichtung;1;0.02;
36 fissures;1;0.02;
15mm und;1;0.02;
und falsch;1;0.02;
falsch montierten;1;0.02;
montierten drahtseilklemmen;1;0.02;
drahtseilklemmen bewerkstelligt;1;0.02;
bewerkstelligt worden;1;0.02;
worden das;1;0.02;
das abspannseil;1;0.02;
abspannseil 8mm;1;0.02;
8mm ist;1;0.02;
ein systemkonformes;1;0.02;
systemkonformes seil;1;0.02;
m pr;1;0.02;
de fissuration;1;0.02;
fissuration longitudinale;1;0.02;
seil 15mm;1;0.02;
15mm zu;1;0.02;
37 fissures;1;0.02;
qui traverse;1;0.02;
paroi anti;1;0.02;
zu ersetzen;1;0.02;
feu orange;1;0.02;
orange clignotant;1;0.02;
videmment sous;1;0.02;
transition en;1;0.02;
ersetzen die;1;0.02;
du tassement;1;0.02;
tassement des;1;0.02;
des terres;1;0.02;
terres des;1;0.02;
rongeurs habite;1;0.02;
habite dans;1;0.02;
dans cette;1;0.02;
cette cavit;1;0.02;
constatation malgr;1;0.02;
die drahtseilklemmen;1;0.02;
la fonte;1;0.02;
fonte de;1;0.02;
neige et;1;0.02;
et pluie;1;0.02;
pluie de;1;0.02;
la veille;1;0.02;
rhabillage au;1;0.02;
mortier relais;1;0.02;
canalisation en;1;0.02;
drahtseilklemmen sind;1;0.02;
m tal;1;0.02;
tal endommag;1;0.02;
hicule petite;1;0.02;
petite fuite;1;0.02;
fuite probable;1;0.02;
probable l;1;0.02;
du chocsous;1;0.02;
chocsous face;1;0.02;
bordure endommag;1;0.02;
sind richtig;1;0.02;
surface appliqu;1;0.02;
appliqu sur;1;0.02;
bordure surtout;1;0.02;
aux endroits;1;0.02;
des anciens;1;0.02;
anciens montants;1;0.02;
de glissi;1;0.02;
korrosion entlang;1;0.02;
richtig zu;1;0.02;
zu montieren;1;0.02;
nder der;1;0.02;
montieren nur;1;0.02;
aus undichtem;1;0.02;
nur 2;1;0.02;
bergang nicht;1;0.02;
nicht funktionierende;1;0.02;
funktionierende widerlagerentw;1;0.02;
widerlagerentw sserung;1;0.02;
sserung in;1;0.02;
unteren wl;1;0.02;
wl kammer;1;0.02;
generell schwachstelle;1;0.02;
schwachstelle spalt;1;0.02;
zwischen beschichtung;1;0.02;
beschichtung konsolkopf;1;0.02;
2 seile;1;0.02;
korrosionsstellen auf;1;0.02;
an lagerplatte;1;0.02;
untere und;1;0.02;
und obere;1;0.02;
lagerplatte mit;1;0.02;
mit oberfl;1;0.02;
oberfl chlicher;1;0.02;
chlicher korrosion;1;0.02;
seile klemmen;1;0.02;
3x fehlende;1;0.02;
fehlende und;1;0.02;
gende endverankerung;1;0.02;
mit vereinzelter;1;0.02;
vereinzelter abplatzung;1;0.02;
klemmen und;1;0.02;
nicht 3;1;0.02;
3 montage;1;0.02;
montage in;1;0.02;
die richtige;1;0.02;
richtige richtung;1;0.02;
die durch;1;0.02;
bei durchgehenden;1;0.02;
durchgehenden rissen;1;0.02;
rissen teilweise;1;0.02;
hrung unterhalb;1;0.02;
unterhalb konsolkopf;1;0.02;
konsolkopf aufgrund;1;0.02;
steinschlag verursacht;1;0.02;
leiste f;1;0.02;
r wassernase;1;0.02;
wassernase nicht;1;0.02;
holz;1;0.02;holzeinlage entfernen(1)
bewehrungs nberdeckung;1;0.02;
verursacht wur;1;0.02;
rissbreiten 0;1;0.02;
wur den;1;0.02;
belagsrisse wurden;1;0.02;
den besch;1;0.02;
teilweise aber;1;0.02;
beim ehem;1;0.02;
ehem fb;1;0.02;
fb freiliegende;1;0.02;
digung des;1;0.02;
nge vom;1;0.02;
vom br;1;0.02;
br ckenunterzug;1;0.02;
ckenunterzug in;1;0.02;
den konsolkopf;1;0.02;
konsolkopf verlaufend;1;0.02;
korrosionsschutzes der;1;0.02;
resultierende korrosion;1;0.02;
tze derzeitige;1;0.02;
