Description_ngram;Count;PerMille;Associated_Comments
bewehrungskorrosion in;22;0.37;
der fuge;22;0.37;
qu elle;22;0.37;
de carbonate;22;0.37;
und abplatzungen;22;0.37;
lessivage de;22;0.37;
sur site;22;0.37;
soit pas;22;0.37;
rieure 1mm;22;0.37;
diverse netzrisse;22;0.37;
sont consid;22;0.37;
long de;22;0.37;
est pas;22;0.37;
avec le;22;0.37;
elle est;22;0.37;
te de;22;0.37;
niveau des;22;0.37;
elle ne;22;0.37;
ne soit;22;0.37;
e 0;22;0.37;
x 20;21;0.35;
entlang der;21;0.35;
irr guli;21;0.35;
trame irr;21;0.35;
de fissures;21;0.35;
aar in;21;0.35;
infolge geringer;21;0.35;
constat s;21;0.35;
du mortier;21;0.35;
der fl;21;0.35;
d infiltration;21;0.35;
0 2mm;21;0.35;
la chaux;21;0.35;
sont pr;21;0.35;
en 2024;21;0.35;
und gr;21;0.35;
alt r;21;0.35;
g t;21;0.35;
un ph;21;0.35;
t constat;21;0.35;
infolge setzungen;21;0.35;
3 cm;21;0.35;
3mm pas;21;0.35;
fortschreitende fl;21;0.35;
ton avec;21;0.35;
fl chenkorrosion;21;0.35;
l ments;21;0.35;
nouveau rev;21;0.35;
protection de;20;0.33;
chliche korrosion;20;0.33;
et efflorescences;20;0.33;
efflorescence du;20;0.33;
avec un;20;0.33;
certaines avec;20;0.33;
fissure avec;20;0.33;
nids de;20;0.33;
non relev;20;0.33;
von der;20;0.33;
int rieur;20;0.33;
visibles en;20;0.33;
pas d;20;0.33;
30 cm;20;0.33;
glissi re;20;0.33;
en partie;20;0.33;
glissi res;20;0.33;
ausbr che;20;0.33;
class e;20;0.33;
localement avec;19;0.32;
rissbreite von;19;0.32;
2 fissures;19;0.32;
verf llt;19;0.32;
der decke;19;0.32;
beton berdeckung;19;0.32;
cution fissures;19;0.32;
fortement alt;19;0.32;
fissure dans;19;0.32;
niveau du;19;0.32;
fl gelmauer;19;0.32;
ouverture de;19;0.32;
rouille et;19;0.32;
ont pas;19;0.32;
b tonnage;19;0.32;
dont certaines;19;0.32;
r alis;19;0.32;
max estim;19;0.32;
constat constatation;19;0.32;
constatation effacer;19;0.32;
n ont;19;0.32;
formation de;19;0.32;
constat es;19;0.32;
en raison;19;0.32;
