Cluster_Representative;Count;Variations;PerMille
auf der decke;53;auf der decke (9) | auf der dseite (9) | auf der seite (14) | in der ecke (9) | an der decke (12);0.16
an der betonoberfl che;20;an der betonoberfl che (12) | auf der betonoberfl che (8);0.06
des formations;22;des formations (11) | des formations emp (11);0.07
formations emp;22;formations emp (11) | formations emp ch (11);0.07
emp ch;47;emp ch (11) | emp ch es (11) | sse ca (25);0.14
fissures dues des;9;fissures dues des (9);0.03
dues des formations;20;dues des formations (10) | dues des formations emp (10);0.06
ch es fissures;24;ch es fissures (8) | emp ch es fissures (8) | ch es fissures de (8);0.07
es fissures de;8;es fissures de (8);0.02
toute la longueur;18;toute la longueur (9) | sur toute la longueur (9);0.05
fissures dues des formations;18;fissures dues des formations (9) | fissures dues des formations emp (9);0.05
des formations emp ch;22;des formations emp ch (11) | des formations emp ch es (11);0.07
formations emp ch es;11;formations emp ch es (11);0.03
dues des formations emp ch;10;dues des formations emp ch (10);0.03
formations emp ch es fissures;8;formations emp ch es fissures (8);0.02
emp ch es fissures de;8;emp ch es fissures de (8);0.02
ts accident;11;ts accident (11);0.03
offene belagsnaht;22;offene belagsnaht (22);0.07
falsche henlage;25;falsche henlage (16) | falscher henlage (9);0.07
undichte rohrdurchf;65;undichte rohrdurchf (65);0.19
rohrdurchf hrung;96;rohrdurchf hrung (57) | rohrdurchf hrungen (26) | rohrdurchf hrung mit (13);0.29
undichte rohrdurchf hrung;78;undichte rohrdurchf hrung (44) | undichte rohrdurchf hrungen (21) | undichte rohrdurchf hrung mit (13);0.23
fugen mit;67;fugen mit (20) | hrend mit (38) | fugen in (9);0.2
mit pflanzenbewuchs;37;mit pflanzenbewuchs (11) | mit pflanzeneinwuchs (26);0.11
hrend mit kalkaussinterung;18;hrend mit kalkaussinterung (18);0.05
wasserf hrend mit kalkaussinterung;18;wasserf hrend mit kalkaussinterung (18);0.05
hrend und;16;hrend und (9) | hrend und mit (7);0.05
wasserf hrend und mit;7;wasserf hrend und mit (7);0.02
undichter anschluss;14;undichter anschluss (14);0.04
leichte rostspuren;17;leichte rostspuren (17);0.05
je stk schwindriss mit;19;je stk schwindriss mit (19);0.06
teils mit kleinen;97;teils mit kleinen (66) | teils mit leichten (16) | be mit kleinen (15);0.29
mit kleinen abplatzungen;130;mit kleinen abplatzungen (107) | stk mit kleinen abplatzungen (8) | be mit kleinen abplatzungen (15);0.39
mehrere teils mit kleinen;7;mehrere teils mit kleinen (7);0.02
teils mit kleinen abplatzungen;41;teils mit kleinen abplatzungen (41);0.12
mm vorstehend;19;mm vorstehend (19);0.06
und gerissene;99;und gerissene (18) | de und gerissene (11) | und gerissen (23) | fuge gerissen (9) | de und gerissen (15) | und weisen (14) | oder gerissene (9);0.29
spr de und gerissene;26;spr de und gerissene (11) | spr de und gerissen (15);0.08
bewehrungsst be teils;27;bewehrungsst be teils (15) | bewehrungsst be teils mit (12);0.08
be teils mit abplatzungen;9;be teils mit abplatzungen (9);0.03
mehrere risse mit;24;mehrere risse mit (7) | mehrere bis m2 mit (10) | mehrere risse teils (7);0.07
risse mit kalkaussinterungen;22;risse mit kalkaussinterungen (12) | querrisse mit kalkaussinterungen (10);0.07
mehrere teils mit abplatzungen;10;mehrere teils mit abplatzungen (10);0.03
mit kalkaussinterungen mit rostflecken;82;mit kalkaussinterungen mit rostflecken (48) | kalkaussinterung mit rostflecken (17) | mit kalkaussinterung mit rostflecken (17);0.24
geringf gig;35;geringf gig (21) | geringf gige (14);0.1
korrosion der;135;korrosion der (38) | korrosion auf (13) | korrosion ohne (38) | korrosion an (21) | korrosion mit (11) | korrosion dem (14);0.4
mehrere abplatzungen;27;mehrere abplatzungen (27);0.08
in bord;14;in bord (14);0.04
zement berzug;50;zement berzug (50);0.15
teils mit kalkaussinterungen und;15;teils mit kalkaussinterungen und (7) | teils mit kalkaussinterungen aus (8);0.04
undichte belagsentw;65;undichte belagsentw (42) | undichtem belagsentw (9) | undichtes belagsentw (14);0.19
belagsentw sserungsrohre;145;belagsentw sserungsrohre (84) | belagsentw sserungsrohr (43) | belagsentw sserungsrohre mit (10) | belagsentw sserungsrohr mit (8);0.43
undichte belagsentw sserungsrohre;66;undichte belagsentw sserungsrohre (35) | undichte belagsentw sserungsrohre mit (9) | undichtem belagsentw sserungsrohr (8) | undichtes belagsentw sserungsrohr (14);0.2
infolge wassereinstau;19;infolge wassereinstau (19);0.06
wassereinstau nicht;16;wassereinstau nicht (16);0.05
nicht einsehbar;28;nicht einsehbar (28);0.08
infolge wassereinstau nicht;16;infolge wassereinstau nicht (16);0.05
wassereinstau nicht einsehbar;15;wassereinstau nicht einsehbar (15);0.04
infolge wassereinstau nicht einsehbar;15;infolge wassereinstau nicht einsehbar (15);0.04
mehr vorhanden;25;mehr vorhanden (10) | keine vorhanden (15);0.07
nicht mehr vorhanden;7;nicht mehr vorhanden (7);0.02
einzelne schwindrisse teils;98;einzelne schwindrisse teils (52) | einzelne schwindrisse teils mit (46);0.29
horizontalriss mit;35;horizontalriss mit (27) | horizontalrisse mit (8);0.1
5cm tief;7;5cm tief (7);0.02
ungesicherte abdeckungen;7;ungesicherte abdeckungen (7);0.02
zu kurze;55;zu kurze (55);0.16
zu kurze belagsentw;46;zu kurze belagsentw (46);0.14
kurze belagsentw sserungsrohre;86;kurze belagsentw sserungsrohre (43) | zu kurze belagsentw sserungsrohre (43);0.26
kalkaussinterungen evtl alte;25;kalkaussinterungen evtl alte (9) | mit kalkaussinterungen evtl alte (9) | kalkaussinterungen alte (7);0.07
aar rissbildung;15;aar rissbildung (15);0.04
kleine teils mit abplatzungen;17;kleine teils mit abplatzungen (17);0.05
mehrere kleine teils mit abplatzungen;12;mehrere kleine teils mit abplatzungen (12);0.04
kleine mechanische;41;kleine mechanische (14) | teils mechanische (27);0.12
kleine mechanische besch;8;kleine mechanische besch (8);0.02
insgesamt stk;9;insgesamt stk (9);0.03
einzelne lokale;7;einzelne lokale (7);0.02
und querrisse;189;und querrisse (85) | ngs und querrisse (81) | stk querriss (11) | stk querrisse (12);0.56
anprallsch den;10;anprallsch den (10);0.03
hte und gel;31;hte und gel (14) | befund geh (17);0.09
binddr hte und gel;14;binddr hte und gel (14);0.04
mehrere ngs und;38;mehrere ngs und (38);0.11
und querrisse teils;62;und querrisse teils (27) | ngs und querrisse teils (27) | und gerissen teils (8);0.18
querrisse teils vergossen;56;querrisse teils vergossen (30) | und querrisse teils vergossen (26);0.17
mehrere ngs und querrisse;34;mehrere ngs und querrisse (34);0.1
mehrere ngs und querrisse teils;13;mehrere ngs und querrisse teils (13);0.04
ngs und querrisse teils vergossen;26;ngs und querrisse teils vergossen (26);0.08
von bohrung;10;von bohrung (10);0.03
angerostete bewehrung;36;angerostete bewehrung (16) | angerosteter bewehrung (12) | angerostete bewehrungen (8);0.11
betonabplatzungen mit korrodierter;15;betonabplatzungen mit korrodierter (8) | abplatzungen mit korrodierter (7);0.04
betonabplatzungen mit korrodierter bewehrung;15;betonabplatzungen mit korrodierter bewehrung (8) | abplatzungen mit korrodierter bewehrung (7);0.04
undichter af;9;undichter af (9);0.03
horizontal und;11;horizontal und (11);0.03
diagonalrisse mit kalkaussinterungen;16;diagonalrisse mit kalkaussinterungen (9) | diagonalriss mit kalkaussinterungen (7);0.05
bei inspektion;44;bei inspektion (9) | der inspektion (16) | re inspection (8) | de inspection (11);0.13
inspektion trocken;25;inspektion trocken (14) | der inspektion trocken (11);0.07
wurde nach;53;wurde nach (19) | wurde nach der (19) | wurde in (7) | wurden nicht (8);0.16
der letzten;62;der letzten (27) | des netzes (28) | des netztes (7);0.18
letzten inspektion;29;letzten inspektion (15) | der letzten inspektion (14);0.09
nach der letzten;21;nach der letzten (21);0.06
wurde nach der letzten;16;wurde nach der letzten (16);0.05
nach der letzten inspektion;9;nach der letzten inspektion (9);0.03
aar fortgeschritten;43;aar fortgeschritten (43);0.13
diagonalriss mit;9;diagonalriss mit (9);0.03
einbetonierte pfosten;25;einbetonierte pfosten (25);0.07
unten ca;45;unten ca (15) | unter dem (10) | alten ls (12) | oben cm (8);0.13
setzung bis;27;setzung bis (11) | setzungen bis (16);0.08
schrauben und;34;schrauben und (34);0.1
und muttern;18;und muttern (18);0.05
schrauben und muttern;12;schrauben und muttern (12);0.04
teils mit rissen;19;teils mit rissen (19);0.06
mehrere mechanische;9;mehrere mechanische (9);0.03
mehrere mechanische besch;8;mehrere mechanische besch (8);0.02
einzelne ngs und;17;einzelne ngs und (17);0.05
einzelne ngs und querrisse;17;einzelne ngs und querrisse (17);0.05
stk holzeinlage;18;stk holzeinlage (11) | mit holzeinlage (7);0.05
ausbr che;85;ausbr che (55) | ausbr che der (7) | ausbr che an (8) | und ausbr che (8) | ausbruch der (7);0.25
gebrochen mechanische;7;gebrochen mechanische (7);0.02
gebrochen mechanische besch;7;gebrochen mechanische besch (7);0.02
gebrochen mechanische besch digung;7;gebrochen mechanische besch digung (7);0.02
kein korrosionsschutz;37;kein korrosionsschutz (15) | ohne korrosionsschutz (10) | keinen korrosionsschutz (12);0.11
in leitmauer;7;in leitmauer (7);0.02
zahlreiche schwindrisse teils;93;zahlreiche schwindrisse teils (37) | zahlreiche schwindrisse teils mit (29) | zahlreiche schwindrisse mit (20) | zahlreiche schwindrisse in (7);0.28
longueur non;106;longueur non (53) | de longueur non (53);0.32
de largeur non;45;de largeur non (45);0.13
largeur non sup;45;largeur non sup (45);0.13
et de longueur;54;et de longueur (54);0.16
non sup 100cm;45;non sup 100cm (18) | non sup 300cm (17) | non sup 30cm (10);0.13
fissures de largeur non;45;fissures de largeur non (45);0.13
de longueur non sup;106;de longueur non sup (53) | et de longueur non sup (53);0.32
de longueur non sup 100cm;52;de longueur non sup 100cm (18) | longueur non sup 300cm (17) | de longueur non sup 300cm (17);0.15
grossfl chig mit korrodierter;83;grossfl chig mit korrodierter (64) | teils grossfl chig mit korrodierter (10) | stk grossfl chig mit korrodierter (9);0.25
teils mit betonabplatzungen;15;teils mit betonabplatzungen (15);0.04
mehrere teils mit kalkaussinterung;30;mehrere teils mit kalkaussinterung (30);0.09
la dalle;40;la dalle (15) | de la dalle (8) | la forte (10) | la rive (7);0.12
dalle de;83;dalle de (9) | pas de (65) | ganze he (9);0.25
de roulement;8;de roulement (8);0.02
dalle de roulement;8;dalle de roulement (8);0.02
mehrere horizontalrisse;13;mehrere horizontalrisse (13);0.04
anzahl gr sse bis;43;anzahl gr sse bis (31) | anzahl gr sse ca (12);0.13
bindstellen teils;42;bindstellen teils (14) | bindstellen teils mit (8) | stellen teils (9) | bindstellen mit (11);0.13
alte nassstelle jetzt trocken aus;9;alte nassstelle jetzt trocken aus (9);0.03
evtl aus bauzeit;27;evtl aus bauzeit (19) | alte aus bauzeit (8);0.08
zahlreiche teils mit;17;zahlreiche teils mit (17);0.05
avec efflorescences;9;avec efflorescences (9);0.03
deckbelag wurde;8;deckbelag wurde (8);0.02
deckbelag wurde ersetzt;8;deckbelag wurde ersetzt (8);0.02
teils mit kalkaussinterungen teils;48;teils mit kalkaussinterungen teils (35) | teils mit kalkaussinterung teils (13);0.14
hohlliegender zement;24;hohlliegender zement (24);0.07
hohlliegender zement berzug;24;hohlliegender zement berzug (24);0.07
stk staketen;8;stk staketen (8);0.02
staketen krumm;8;staketen krumm (8);0.02
randsteine abgel;22;randsteine abgel (11) | randsteine abgel st (11);0.07
gel binddr hte und;32;gel binddr hte und (32);0.1
de ouvrage;54;de ouvrage (39) | de trame (15);0.16
mit alter;68;mit alter (13) | mit ausbl (20) | mitte der (27) | mit dem (8);0.2
spuren von;10;spuren von (10);0.03
der instandsetzung;12;der instandsetzung (12);0.04
ucher und;56;ucher und (16) | ucher efeu (9) | ucher moos (10) | muttern und (12) | dichte und (9);0.17
bewehrung sichtbar;19;bewehrung sichtbar (19);0.06
stk schwindriss teils mit;12;stk schwindriss teils mit (12);0.04
zahlreiche schwindrisse mit kalkaussinterungen;30;zahlreiche schwindrisse mit kalkaussinterungen (14) | zahlreiche schwindrisse teils mit kalkaussinterungen (16);0.09
horizontalriss mit kalkaussinterungen;28;horizontalriss mit kalkaussinterungen (15) | stk horizontalriss mit kalkaussinterungen (13);0.08
lokale korrosionsspuren;10;lokale korrosionsspuren (10);0.03
auf der oberfl che;19;auf der oberfl che (11) | an der oberfl che (8);0.06
mehrere schwindrisse mit kalksinterungen;16;mehrere schwindrisse mit kalksinterungen (16);0.05
stk mit kleinen;8;stk mit kleinen (8);0.02
rostflecken mit kalkaussinterungen;26;rostflecken mit kalkaussinterungen (13) | mit rostflecken mit kalkaussinterungen (13);0.08
risse mit kalkausscheidungen;8;risse mit kalkausscheidungen (8);0.02
ist abgewittert;27;ist abgewittert (27);0.08
mit einzelnen;39;mit einzelnen (19) | che mit einzelnen (12) | an einzelnen (8);0.12
verzinkung ist abgewittert;69;verzinkung ist abgewittert (27) | verzinkung ist abgewittert mit (26) | verzinkung abgewittert (16);0.21
mit kalksinterungen teils;49;mit kalksinterungen teils (13) | mit kalkaussinterung teils (36);0.15
nicht vollst;11;nicht vollst (11);0.03
nicht vollst ndig;11;nicht vollst ndig (11);0.03
schwindrisse durch;8;schwindrisse durch (8);0.02
beschichtung teils;83;beschichtung teils (30) | der beschichtung teils (19) | beschichtung teils mit (13) | beschichtung mit (13) | besch digung teils (8);0.25
mit leichten kalkaussinterungen;23;mit leichten kalkaussinterungen (16) | teils mit leichten kalkaussinterungen (7);0.07
schwindrisse teils mit leichten;8;schwindrisse teils mit leichten (8);0.02
fr hschwindrisse evtl;53;fr hschwindrisse evtl (21) | fr hschwindrisse evtl aar (21) | fr hschwindrisse oder (11);0.16
hschwindrisse evtl aar;21;hschwindrisse evtl aar (21);0.06
hschwindrisse evtl aar beginnend;42;hschwindrisse evtl aar beginnend (21) | fr hschwindrisse evtl aar beginnend (21);0.13
netzartige risse auf;108;netzartige risse auf (24) | netzartige risse auf der (18) | netzartige risse bis (55) | netzartige risse mit (11);0.32
rissbreiten bis zu mm;52;rissbreiten bis zu mm (24) | rissbreite bis zu mm (19) | rissbreiten bis zu mm und (9);0.15
bereich der;111;bereich der (57) | im bereich der (25) | bereich des (10) | bereich der st (7) | bereich von (12);0.33
ca mm rissbreite;72;ca mm rissbreite (35) | ca mm rissbreite mit (21) | mauer rissbreite (9) | cm und rissbreite (7);0.21
hohlliegend ca;32;hohlliegend ca (7) | hohlliegend ev (7) | hohlliegend mit (10) | hohlliegend und (8);0.1
der trockensteinmauer;7;der trockensteinmauer (7);0.02
mehreren stellen der;47;mehreren stellen der (24) | an mehreren stellen der (23);0.14
vermutlich aus bauzeit;7;vermutlich aus bauzeit (7);0.02
cm2 mechanisch besch;15;cm2 mechanisch besch (15);0.04
kornausbr chen teils;32;kornausbr chen teils (12) | mit kornausbr chen teils (12) | kornausbr chen teils mit (8);0.1
che mit kornausbr chen teils;9;che mit kornausbr chen teils (9);0.03
mit kornausbr chen teils mit;8;mit kornausbr chen teils mit (8);0.02
block oben;11;block oben (11);0.03
teils netzartig;18;teils netzartig (18);0.05
schwindrisse teils netzartig;8;schwindrisse teils netzartig (8);0.02
ungesicherte einlaufroste;11;ungesicherte einlaufroste (11);0.03
in mitte;55;in mitte (11) | in der mitte (35) | in decke (9);0.16
beschichtung und;22;beschichtung und (22);0.07
abl sung der beschichtung und;29;abl sung der beschichtung und (19) | abl sung der beschichtung mit (10);0.09
zahlreiche gr sse;9;zahlreiche gr sse (9);0.03
nicht frostsicher;25;nicht frostsicher (14) | cke nicht frostsicher (11);0.07
aar beginnend oder;21;aar beginnend oder (21);0.06
beginnend oder fr;10;beginnend oder fr (10);0.03
aar beginnend oder fr hschwindrisse;21;aar beginnend oder fr hschwindrisse (10) | aar beginnend oder schwindrisse (11);0.06
und spr de;7;und spr de (7);0.02
mangelhaftes detail;26;mangelhaftes detail (26);0.08
bis 200 cm2 teils;18;bis 200 cm2 teils (9) | bis 100 cm2 teils (9);0.05
fa en age;14;fa en age (14);0.04
beschichtung farbe;54;beschichtung farbe (27) | der beschichtung farbe (27);0.16
sung der beschichtung farbe;50;sung der beschichtung farbe (25) | abl sung der beschichtung farbe (25);0.15
bauzeit jetzt;16;bauzeit jetzt (8) | aus bauzeit jetzt (8);0.05
kalkaussinterungen aus bauzeit;37;kalkaussinterungen aus bauzeit (19) | mit kalkaussinterungen aus bauzeit (18);0.11
bauzeit jetzt trocken;16;bauzeit jetzt trocken (8) | aus bauzeit jetzt trocken (8);0.05
nicht normgerecht;8;nicht normgerecht (8);0.02
mit korrosionserscheinungen;12;mit korrosionserscheinungen (12);0.04
fl chige;15;fl chige (15);0.04
abgewittert mit korrosionserscheinungen;28;abgewittert mit korrosionserscheinungen (11) | ist abgewittert mit korrosionserscheinungen (8) | abgewittert mit lokalen korrosionserscheinungen (9);0.08
fl chige korrosion;8;fl chige korrosion (8);0.02
verzinkung ist abgewittert mit korrosionserscheinungen;8;verzinkung ist abgewittert mit korrosionserscheinungen (8);0.02
hohlliegend teils;24;hohlliegend teils (16) | hohlliegend teils mit (8);0.07
thorma berbau;8;thorma berbau (8);0.02
aar beginnend evtl schwindrisse;24;aar beginnend evtl schwindrisse (24);0.07
vertikale risse;27;vertikale risse (12) | vertikaler riss (15);0.08
von bis zu;59;von bis zu (11) | nge bis zu (28) | gt bis zu (12) | ngen bis zu (8);0.18
diverse risse;10;diverse risse (10);0.03
ausbl hungen;44;ausbl hungen (25) | mit ausbl hungen (19);0.13
teilweise mit ausbl;9;teilweise mit ausbl (9);0.03
teilweise mit ausbl hungen;9;teilweise mit ausbl hungen (9);0.03
mehrere grossfl chig mit korrodierter;12;mehrere grossfl chig mit korrodierter (12);0.04
grossfl chig mit korrodierter bewehrung;61;grossfl chig mit korrodierter bewehrung (61);0.18
bewuchs in der;44;bewuchs in der (14) | bewuchs in den (12) | bewuchs ber der (10) | bewuchs auf der (8);0.13
der st tzmauer;77;der st tzmauer (66) | an der st tzmauer (11);0.23
den mauerfugen;111;den mauerfugen (36) | in den mauerfugen (36) | den rtelfugen (19) | der mauerfugen (12) | den mauerfugen an (8);0.33
obersten steinreihe;32;obersten steinreihe (10) | der obersten steinreihe (10) | obersten steinreihen (12);0.1
str ucher efeu;19;str ucher efeu (9) | str ucher moos (10);0.06
hte gel und;25;hte gel und (8) | steinen und (10) | rtelkeil und (7);0.07
binddr hte gel und;8;binddr hte gel und (8);0.02
lokaler ausbruch;8;lokaler ausbruch (8);0.02
der mitte der;50;der mitte der (25) | in der mitte der (25);0.15
mitte der mauer;34;mitte der mauer (17) | der mitte der mauer (17);0.1
in der mitte der mauer;17;in der mitte der mauer (17);0.05
der obersten steinreihen;9;der obersten steinreihen (9);0.03
zwangsrisse mit;17;zwangsrisse mit (8) | ngsriss mit (9);0.05
offene fuge;7;offene fuge (7);0.02
verschiebung der;47;verschiebung der (31) | verschiebungen der (7) | verschiebung betr (9);0.14
verschiebung der obersten;8;verschiebung der obersten (8);0.02
undichte bindstellen teils;8;undichte bindstellen teils (8);0.02
kalkaussinterung teils mit;30;kalkaussinterung teils mit (21) | kalksinterungen teils mit (9);0.09
zahlreiche kleine binddr;16;zahlreiche kleine binddr (8) | zahlreiche kleine binddr hte (8);0.05
lokale abplatzung;65;lokale abplatzung (22) | lokale abplatzungen (43);0.19
auf ganzer;35;auf ganzer (13) | auf einer (7) | die ganze (7) | auf ganze (8);0.1
den betonkanten;14;den betonkanten (7) | an den betonkanten (7);0.04
lokale abplatzungen an;9;lokale abplatzungen an (9);0.03
abplatzungen an den;31;abplatzungen an den (11) | abplatzungen an der (11) | abplatzung an der (9);0.09
abplatzungen an den betonkanten;7;abplatzungen an den betonkanten (7);0.02
diverse abplatzungen;16;diverse abplatzungen (16);0.05
mehrere lokale;12;mehrere lokale (12);0.04
vermutlich von;25;vermutlich von (25);0.07
kiesnester im;8;kiesnester im (8);0.02
im unteren;42;im unteren (42);0.13
unteren bereich;104;unteren bereich (33) | im unteren bereich (33) | unteren bereich der (18) | oberen bereich (20);0.31
im unteren bereich der;30;im unteren bereich der (18) | im oberen bereich der (12);0.09
bis mm und;74;bis mm und (32) | zu mm und (21) | bis zu mm und (21);0.22
mm und rissl;166;mm und rissl (63) | bis mm und rissl (31) | mm und rissl nge (51) | zu mm und rissl (21);0.49
und rissl nge;134;und rissl nge (52) | und rissl nge bis (34) | mm rissl nge (24) | und rissl ngen (12) | mm und rissl ngen (12);0.4
rissl nge bis;115;rissl nge bis (56) | rissl nge bis zu (28) | mm rissl nge bis (9) | rissl ngen bis (14) | rissl ngen bis zu (8);0.34
rissbreite bis mm und;41;rissbreite bis mm und (22) | rissbreiten bis mm und (7) | rissbreite bis zu mm und (12);0.12
rissbreite bis mm und rissl;40;rissbreite bis mm und rissl (21) | rissbreiten bis mm und rissl (7) | rissbreite bis mm rissl (12);0.12
bis mm und rissl nge;53;bis mm und rissl nge (26) | zu mm und rissl nge (15) | bis mm rissl nge (12);0.16
mm und rissl nge bis;58;mm und rissl nge bis (34) | und rissl ngen bis (12) | mm und rissl ngen bis (12);0.17
lokal angerostete;11;lokal angerostete (11);0.03
fl gelmauer;23;fl gelmauer (15) | der fl gelmauer (8);0.07
block teils mit;47;block teils mit (32) | pro block teils mit (15);0.14
block teils mit kalkaussinterungen;25;block teils mit kalkaussinterungen (17) | pro block teils mit kalkaussinterungen (8);0.07
durch anprall;11;durch anprall (11);0.03
derzeitige korrosion;59;derzeitige korrosion (44) | auf derzeitige korrosion (15);0.18
ohne nennenswerten;22;ohne nennenswerten (22);0.07
nennenswerten querschnittsverlust;34;nennenswerten querschnittsverlust (17) | ohne nennenswerten querschnittsverlust (17);0.1
derzeitige korrosion ohne;38;derzeitige korrosion ohne (30) | auf derzeitige korrosion ohne (8);0.11
korrosion ohne nennenswerten;21;korrosion ohne nennenswerten (21);0.06
derzeitige korrosion ohne nennenswerten;21;derzeitige korrosion ohne nennenswerten (21);0.06
korrosion ohne nennenswerten querschnittsverlust;16;korrosion ohne nennenswerten querschnittsverlust (16);0.05
derzeitige korrosion ohne nennenswerten querschnittsverlust;16;derzeitige korrosion ohne nennenswerten querschnittsverlust (16);0.05
nur lokal;8;nur lokal (8);0.02
ca 10 der;7;ca 10 der (7);0.02
in richtung;37;in richtung (25) | mm in richtung (12);0.11
freiliegender korrodierter;48;freiliegender korrodierter (20) | mit freiliegender korrodierter (20) | freiliegende korrodierte (8);0.14
freiliegender korrodierter bewehrung;47;freiliegender korrodierter bewehrung (20) | mit freiliegender korrodierter bewehrung (20) | freiliegende korrodierte bewehrung (7);0.14
ausf hrungsfehler;14;ausf hrungsfehler (14);0.04
lokale korrosion;9;lokale korrosion (9);0.03
stark schlagend;7;stark schlagend (7);0.02
zahlreiche ngs und;11;zahlreiche ngs und (11);0.03
zahlreiche ngs und querrisse;10;zahlreiche ngs und querrisse (10);0.03
von belagsentw sserung;18;von belagsentw sserung (18);0.05
sung der beschichtung teils;28;sung der beschichtung teils (14) | abl sung der beschichtung teils (14);0.08
beschichtung mehrere;19;beschichtung mehrere (10) | der beschichtung mehrere (9);0.06
sung der beschichtung mehrere;18;sung der beschichtung mehrere (9) | abl sung der beschichtung mehrere (9);0.05
pfosten sind;11;pfosten sind (11);0.03
sind lose;12;sind lose (12);0.04
lose beweglich;10;lose beweglich (10);0.03
pfosten sind lose;10;pfosten sind lose (10);0.03
sind lose beweglich;10;sind lose beweglich (10);0.03
pfosten sind lose beweglich;10;pfosten sind lose beweglich (10);0.03
abl sung der os;9;abl sung der os (9);0.03
von leitschrankenpfosten;10;von leitschrankenpfosten (10);0.03
infolge undichter fuge;14;infolge undichter fuge (14);0.04
sserungsrohre mit;32;sserungsrohre mit (12) | sserungsrohre teils (12) | sserungsrohr mit (8);0.1
belagsentw sserungsrohre teils;22;belagsentw sserungsrohre teils (12) | belagsentw sserungsrohre teils mit (10);0.07
sserungsrohre teils mit;10;sserungsrohre teils mit (10);0.03
bei bergang;10;bei bergang (10);0.03
entw sserungsleitung;9;entw sserungsleitung (9);0.03
stark korrodiert;40;stark korrodiert (32) | stark korrodierter (8);0.12
zahlreiche mit abplatzungen;10;zahlreiche mit abplatzungen (10);0.03
abplatzungen gr sse;34;abplatzungen gr sse (13) | mit abplatzungen gr sse (12) | abplatzungen gr sse cm2 (9);0.1
mit abplatzungen gr sse cm2;9;mit abplatzungen gr sse cm2 (9);0.03
200 cm2 teils mit;16;200 cm2 teils mit (7) | 100 cm2 teils mit (9);0.05
rtel berzug;8;rtel berzug (8);0.02
berzug hohlliegend;9;berzug hohlliegend (9);0.03
rostflecken lokal;14;rostflecken lokal (7) | mit rostflecken lokal (7);0.04
lokal teilweise;8;lokal teilweise (8);0.02
teilweise starke;12;teilweise starke (12);0.04
starke korrosion;17;starke korrosion (17);0.05
verzinkung abgewittert mit;11;verzinkung abgewittert mit (11);0.03
abgewittert mit rostflecken;14;abgewittert mit rostflecken (7) | abgewittert mit rostflecken lokal (7);0.04
rostflecken lokal teilweise;14;rostflecken lokal teilweise (7) | mit rostflecken lokal teilweise (7);0.04
lokal teilweise starke;7;lokal teilweise starke (7);0.02
teilweise starke korrosion;8;teilweise starke korrosion (8);0.02
verzinkung abgewittert mit rostflecken;14;verzinkung abgewittert mit rostflecken (7) | verzinkung abgewittert mit rostflecken lokal (7);0.04
rostflecken lokal teilweise starke;14;rostflecken lokal teilweise starke (7) | mit rostflecken lokal teilweise starke (7);0.04
lokal teilweise starke korrosion;7;lokal teilweise starke korrosion (7);0.02
abgewittert mit rostflecken lokal teilweise;7;abgewittert mit rostflecken lokal teilweise (7);0.02
rostflecken lokal teilweise starke korrosion;7;rostflecken lokal teilweise starke korrosion (7);0.02
kleinen ausbr;32;kleinen ausbr (16) | mit kleinen ausbr (16);0.1
kleinen ausbr chen;32;kleinen ausbr chen (16) | mit kleinen ausbr chen (16);0.1
entw sserungsrohr;8;entw sserungsrohr (8);0.02
betonabplatzungen bis 200;7;betonabplatzungen bis 200 (7);0.02
teils hohlliegender;10;teils hohlliegender (10);0.03
stk mit betonabplatzung;22;stk mit betonabplatzung (13) | stk mit betonabplatzung bis (9);0.07
bewehrung zw ngung;11;bewehrung zw ngung (11);0.03
korrodierter bewehrung zw ngung;20;korrodierter bewehrung zw ngung (10) | mit korrodierter bewehrung zw ngung (10);0.06
steink rbe;10;steink rbe (10);0.03
br ckentr;44;br ckentr (22) | br ckentr ger (22);0.13
ckentr ger;22;ckentr ger (22);0.07
mit abl sung der;18;mit abl sung der (8) | teils abl sung der (10);0.05
hohlt nend;36;hohlt nend (20) | hohlt nende (8) | hohlt nend es (8);0.11
beschichtung grossfl;26;beschichtung grossfl (7) | der beschichtung grossfl (7) | beschichtung gerissen (12);0.08
beschichtung grossfl chig;14;beschichtung grossfl chig (7) | der beschichtung grossfl chig (7);0.04
sung der beschichtung grossfl;21;sung der beschichtung grossfl (7) | abl sung der beschichtung grossfl (7) | sung der beschichtung grossfl chig (7);0.06
mit gelartigen;48;mit gelartigen (48);0.14
gelartigen ausscheidungen;94;gelartigen ausscheidungen (48) | mit gelartigen ausscheidungen (46);0.28
mm rissbreite mit;21;mm rissbreite mit (21);0.06
rissbreite mit gelartigen;59;rissbreite mit gelartigen (21) | mm rissbreite mit gelartigen (21) | breite mit gelartigen (10) | mm breite mit gelartigen (7);0.18
netzartige risse bis ca;97;netzartige risse bis ca (51) | netzartige risse bis ca mm (46);0.29
rissbreite mit gelartigen ausscheidungen;69;rissbreite mit gelartigen ausscheidungen (21) | mm rissbreite mit gelartigen ausscheidungen (21) | risse mit gelartigen ausscheidungen (10) | breite mit gelartigen ausscheidungen (10) | mm breite mit gelartigen ausscheidungen (7);0.21
bis ca mm rissbreite mit;21;bis ca mm rissbreite mit (21);0.06
