Cluster_Representative;Count;Variations;PerMille
en raison de la forte corrosion des armatures;10;en raison de la forte corrosion des armatures (10);0.33
clat plusieurs endroits en raison de la forte corrosion;60;clat plusieurs endroits en raison de la forte corrosion (10) | plusieurs endroits en raison de la forte corrosion des (10) | ton clat plusieurs endroits en raison de la forte corrosion (10) | clat plusieurs endroits en raison de la forte corrosion des (10) | ton clat plusieurs endroits en raison de la forte corrosion des (10) | le ton clat plusieurs endroits en raison de la forte corrosion des (10);1.97
le ton clat plusieurs endroits en raison de la forte;10;le ton clat plusieurs endroits en raison de la forte (10);0.33
plusieurs endroits en raison de la forte corrosion des armatures;30;plusieurs endroits en raison de la forte corrosion des armatures (10) | ton clat plusieurs endroits en raison de la forte corrosion des armatures (10) | le ton clat plusieurs endroits en raison de la forte corrosion des armatures (10);0.99
jusqu mm;7;jusqu mm (7);0.23
inf rieures;18;inf rieures (18);0.59
rieures mm;20;rieures mm (20);0.66
fissures inf rieures;16;fissures inf rieures (16);0.53
aucune photo;12;aucune photo (12);0.39
de retrait;11;de retrait (11);0.36
rissl nge;11;rissl nge (11);0.36
nge betr;8;nge betr (8);0.26
betr gt;16;betr gt (16);0.53
und rissbreite;8;und rissbreite (8);0.26
rissbreite betr;8;rissbreite betr (8);0.26
rissl nge betr;8;rissl nge betr (8);0.26
und rissbreite betr gt;8;und rissbreite betr gt (8);0.26
gt bis;8;gt bis (8);0.26
visible depuis;7;visible depuis (7);0.23
sont pas;20;sont pas (10) | ne sont pas (10);0.66
lteren datums;7;lteren datums (7);0.23
photo des;10;photo des (10);0.33
constatations disponibles;9;constatations disponibles (9);0.3
disponibles car;9;disponibles car (9);0.3
pas visibles;9;pas visibles (9);0.3
des ces constatations;9;des ces constatations (9);0.3
car ne sont;9;car ne sont (9);0.3
sont pas visibles;9;sont pas visibles (9);0.3
aucune photo des ces;9;aucune photo des ces (9);0.3
photo des ces constatations;9;photo des ces constatations (9);0.3
des ces constatations disponibles;18;des ces constatations disponibles (9) | des ces constatations disponibles car ne (9);0.59
ces constatations disponibles car;18;ces constatations disponibles car (9) | ces constatations disponibles car ne (9);0.59
constatations disponibles car ne;9;constatations disponibles car ne (9);0.3
disponibles car ne sont;9;disponibles car ne sont (9);0.3
aucune photo des ces constatations;9;aucune photo des ces constatations (9);0.3
car ne sont pas visibles;9;car ne sont pas visibles (9);0.3
aucune photo des ces constatations disponibles;18;aucune photo des ces constatations disponibles (9) | aucune photo des ces constatations disponibles car ne (9);0.59
photo des ces constatations disponibles car;18;photo des ces constatations disponibles car (9) | photo des ces constatations disponibles car ne (9);0.59
ces constatations disponibles car ne sont;45;ces constatations disponibles car ne sont (9) | constatations disponibles car ne sont pas (9) | des ces constatations disponibles car ne sont (9) | ces constatations disponibles car ne sont pas (9) | des ces constatations disponibles car ne sont pas (9);1.48
ces constatations disponibles car ne sont pas visibles;18;ces constatations disponibles car ne sont pas visibles (9) | des ces constatations disponibles car ne sont pas visibles (9);0.59
aucune photo des ces constatations disponibles car ne sont;27;aucune photo des ces constatations disponibles car ne sont (9) | photo des ces constatations disponibles car ne sont pas (9) | aucune photo des ces constatations disponibles car ne sont pas (9);0.89
aucune photo des ces constatations disponibles car ne sont pas visibles;9;aucune photo des ces constatations disponibles car ne sont pas visibles (9);0.3
mit einem;9;mit einem (9);0.3
verdacht auf;7;verdacht auf (7);0.23
aar typisches;9;aar typisches (9);0.3
typisches rissbild;9;typisches rissbild (9);0.3
einem aar;8;einem aar (8);0.26
risse mit einem;8;risse mit einem (8);0.26
einem aar typisches;8;einem aar typisches (8);0.26
einem aar typisches rissbild;8;einem aar typisches rissbild (8);0.26
risse mit einem aar typisches;8;risse mit einem aar typisches (8);0.26
risse mit einem aar typisches rissbild;8;risse mit einem aar typisches rissbild (8);0.26
bordure refaite;9;bordure refaite (9);0.3
refaite lors;9;refaite lors (9);0.3
de uplan;10;de uplan (10);0.33
uplan 2020;11;uplan 2020 (11);0.36
bordure refaite lors;9;bordure refaite lors (9);0.3
lors de uplan;9;lors de uplan (9);0.3
refaite lors de uplan;9;refaite lors de uplan (9);0.3
lors de uplan 2020;9;lors de uplan 2020 (9);0.3
la bordure refaite lors de;9;la bordure refaite lors de (9);0.3
bordure refaite lors de uplan;9;bordure refaite lors de uplan (9);0.3
la bordure refaite lors de uplan 2020;9;la bordure refaite lors de uplan 2020 (9);0.3
de ouvrage dans;12;de ouvrage dans (12);0.39
ouvrage dans le;12;ouvrage dans le (12);0.39
le uplan martigny;12;le uplan martigny (12);0.39
uplan martigny et;12;uplan martigny et (12);0.39
